indicator_orig,indic_id,indicator_harmonized
 Nitrogen + Phosphate Fertilizers (N+P205 total nutrients),IPBES_GA_1_52_19_22,nitrogen + phosphate fertilizers (n+p205 total nutrients)
 Trends in pesticide use,IPBES_GA_1_52_19_23,trends in pesticide use
 Trends in nitrogen deposition,IPBES_GA_1_52_19_24,trends in nitrogen deposition
 Species protection index,IPBES_GA_1_52_19_25,species protection index
 Protected area management effectiveness,IPBES_GA_1_52_19_26,protected area management effectiveness (pame)
 Protected Area Connectedness Index,IPBES_GA_1_52_19_27,protected area connectedness (parc-connectedness) index
" Percentage of areas covered by protected areas- marine, coastal, terrestrial, inland water",IPBES_GA_1_52_19_28,protected area coverage
 Biodiversity Intactness Index,IPBES_GA_1_52_19_29,biodiversity intactness index
 Red list index,IPBES_GA_1_52_19_30,red list index
 Species habitat index,IPBES_GA_1_52_19_31,species habitat index
" Proportion of local breeds, classified as being at risk, not-at-risk or unknown level of risk of extinction",IPBES_GA_1_52_19_32,proportion of local breeds classified as being at risk of extinction
 inland fishery production,IPBES_GA_1_52_19_33,inland fishery production
 Percentage of undernourished people,IPBES_GA_1_52_19_34,percentage of undernourished people
 Number of countries with developed or revised NBSAPs,IPBES_GA_1_52_19_35,number of countries with developed or revised nbsaps
 Proportion of known species assessed through the IUCN red list,IPBES_GA_1_52_19_36,proportion of known species assessed through the red list index
 species status index,IPBES_GA_1_52_19_37,species status index
 Living planet index,IPBES_GA_1_52_19_38,living planet index
" Number of countries with national instruments on biodiversity-relevant taxes, charges and fees",IPBES_GA_1_52_19_39,"number of countries with national instruments on biodiversity relevant taxes, charges and fees"
 Number of countries with national instruments on REDD plus schemes,IPBES_GA_1_52_19_40,number of countries with national instruments on redd plus schemes
 Trends in potentially harmful elements of government support to agriculture (produced support estimates),IPBES_GA_1_52_19_41,trends in potentially harmful elements of government support to agriculture (produced support estimates)
 Trends in potentially harmful elements of government support to fisheries,IPBES_GA_1_52_19_42,trends in potentially harmful elements of government support to fisheries
 Number of countries with national instruments on biodiversity relevant tradable permit schemes,IPBES_GA_1_52_19_43,number of countries with national instruments on biodiversity relevant tradable permit schemes
 Human appropriation of net primary productivity,IPBES_GA_1_52_19_44,human appropriation of net primary productivity
 Trend in Carbon Intensity,IPBES_GA_1_52_19_45,trend in carbon intensity
 Global climate risk Index,IPBES_GA_1_52_19_46,global climate risk index
 Westland Extent Trend Index,IPBES_GA_1_52_19_47,wetland extent trends index
 Global effort in bottom trawling,IPBES_GA_1_52_19_48,global effort in bottom-trawling
 Number and coverage of stocks with adaptive management systems/plans,IPBES_GA_1_52_19_49,number and coverage of stocks with adaptive management systems/plans
  Presence of regulations requiring recovery of depleted species,IPBES_GA_1_52_19_50,presence of regulations requiring recovery of depleted species
 Policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,IPBES_GA_1_52_19_51,policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place
  Policies make adequate provisions to minimize impacts of fisheries on threatened species,IPBES_GA_1_52_19_52,policies make adequate provisions to minimize impacts of fisheries on threatened species
 Coverage of fisheries with management measures to reduce bycatch and discards,IPBES_GA_1_52_19_53,coverage of fisheries with management measures to reduce bycatch and discards
  Proportion of predatory fish,IPBES_GA_1_52_19_54,proportion of predatory fish
 Mean length of fish,IPBES_GA_1_52_19_55,mean length of fish
 BioTime-Local Species Richness,IPBES_GA_1_52_19_56,biotime-local species richness
 Temporal Species Turnover,IPBES_GA_1_52_19_57,temporal species turnover
 Overall Species Abundance,IPBES_GA_1_52_19_58,overall species abundance
 Non declining exploited species,IPBES_GA_1_52_19_59,non declining exploited species
 Number of world natural heritage sites per country per year,IPBES_GA_1_52_19_60,number of world natural heritage sites per country per year
 Nitrogen use balance,IPBES_GA_1_52_19_61,nitrogen use balance
 Areas of agricultural land under convervation agriculture,IPBES_GA_1_52_19_62,area of agricultural land under conservation
  Proportion of agricultural area under productive and sustainable agriculture,IPBES_GA_1_52_19_63,proportion of agricultural area under productive and sustainable agriculture
 Trends in the numbers of invasive alien species introduction events,IPBES_GA_1_52_19_64,trends in the numbers of invasive alien species introduction events
 Trends in invasive alien species vertebrate eradications,IPBES_GA_1_52_19_65,trends in invasive alien species vertebrate eradications
" Protected area coverage of terrestrial, marine and freshwater ecoregions",IPBES_GA_1_52_19_66,"protected area coverage of terrestrial, marine and freshwater ecoregions"
 Protected Area Representativeness Index,IPBES_GA_1_52_19_67,protected area representativeness index
 Wildlife Picture Index,IPBES_GA_1_52_19_68,wildlife picture index
 Mean Species Abundance,IPBES_GA_1_52_19_69,mean species abundance (msa)
 Number of species extinctions,IPBES_GA_1_52_19_70,number of species extinctions
 RAMSAR sites,IPBES_GA_1_52_19_71,ramsar sites
 Better life index,IPBES_GA_1_52_19_72,better life index
 Percentage of population using safely managed drinking water services,IPBES_GA_1_52_19_73,percentage of population using safely managed drinking water services
 Wetland Extent Trend Index,IPBES_GA_1_52_19_74,wetland extent trends index
 Land under cereal production (ha),IPBES_GA_1_52_19_75,land under cereal production (ha)
 Global Ecosystem Restoration Index,IPBES_GA_1_52_19_76,global ecosystem restoration index
" Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",IPBES_GA_1_52_19_77,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
 Global Index of Linguistic Diversity and language threat level,IPBES_GA_1_52_19_78,global linguistic diversity index and language threat level
 Growth in species occurrence records accessible through GBIF,IPBES_GA_1_52_19_79,species occurrence records accessible through the global biodiversity information facility
  Species represented in the barcode of life data system,IPBES_GA_1_52_19_80,species represented in the barcode of life data system
" Information provided through the financial reporting framework, adopted by decision XII/3 
",IPBES_GA_1_52_19_81,"information provided through the financial reporting framework, adopted by decision xii/3"
GDP per capita,IPBES_GA_2_20_26_82,gross domestic product
Child mortality,IPBES_GA_2_22_28_83,child mortality
 caloric intake,IPBES_GA_2_22_28_84,caloric intake
 per capita consumption,IPBES_GA_2_22_28_85,per capita consumption
 value of merchandise being exported,IPBES_GA_2_22_28_86,value of merchandise being exported
mortality rate under 5,IPBES_GA_2_24_29_87,mortality rate under 5
 Human development index,IPBES_GA_2_24_29_88,human development index (hdi)
 calorie intake,IPBES_GA_2_24_29_89,caloric intake
 GDP per capita,IPBES_GA_2_24_29_90,gross domestic product
 Globalization index,IPBES_GA_2_24_29_91,globalization index
 Domestic material consumption per capita,IPBES_GA_2_24_29_92,domestic material consumption
 merchandise exports,IPBES_GA_2_24_29_93,merchandise exports
 total population,IPBES_GA_2_24_29_94,total population
 proportion of urban population,IPBES_GA_2_24_29_95,proportion of urban population
 International migrant stock,IPBES_GA_2_24_29_96,international migrant stock
 Absence of conflict as indicator of political stability,IPBES_GA_2_24_29_97,absence of conflict as indicator of political stability
 Protection of key biodiversity areas,IPBES_GA_2_24_29_98,protection of key biodiversity areas
human development index,IPBES_GA_2_22_30_99,human development index (hdi)
income,IPBES_GA_2_25_31_100,income
 life expectancy at birth,IPBES_GA_2_25_31_101,life expectancy
 average number of years of schooling,IPBES_GA_2_25_31_102,average number of years of schooling
World happiness index,IPBES_GA_2_25_34_103,world happiness index
 Social progress index,IPBES_GA_2_25_34_104,social progress index
 Environmental performance index,IPBES_GA_2_25_34_105,environmental performance index
 Environmental Component of the Social Sustainability INDEX,IPBES_GA_2_25_34_106,environmental component of the social sustainability index
index of linguistic diversity,IPBES_GA_2_41_36_107,linguistic diversity index
Fertilizer use,IPBES_GA_2_83_42_108,fertilizer use
 Land use change,IPBES_GA_2_83_42_109,land use change
 Extraction of living biomass,IPBES_GA_2_83_42_110,extraction of living biomass
 Extraction of non-living materials,IPBES_GA_2_83_42_111,extraction of non-living materials
 Greenhouse gas emissions,IPBES_GA_2_83_42_112,greenhouse gas emissions
 Air pollution,IPBES_GA_2_83_42_113,air pollution
 Alien species richness,IPBES_GA_2_83_42_114,alien species richness
Access to improved sanitation facilities,IPBES_GA_2_109_44_115,access to improved sanitation facilities
Water quality index (WATQI),IPBES_GA_2_110_45_116,water quality index (watqi)
Biodiversity Intactness index,IPBES_GA_2_117_46_117,biodiversity intactness index
Total land footprint,IPBES_GA_2_118_47_118,total land footprint
 percentage of abroad land use footprint,IPBES_GA_2_118_47_119,percentage of abroad land use footprint
 percentage of agricultural and urban areas,IPBES_GA_2_118_47_120,percentage of agricultural and urban areas
 Extraction of non-human materials,IPBES_GA_2_118_47_121,extraction of non-human materials
 Total GHG emissions,IPBES_GA_2_118_47_122,total greenhouse gas emissions per year
 Alien species,IPBES_GA_2_118_47_123,alien species
Biomass of prey fish,IPBES_GA_2.2_1_50_124,biomass of prey fish
 Terrestrial vegetation biomass,IPBES_GA_2.2_1_50_125,terrestrial vegetation biomass
 extent of forests,IPBES_GA_2.2_1_50_126,extent of forests
 area of tree cover,IPBES_GA_2.2_1_50_127,tree cover
 total extinction risk,IPBES_GA_2.2_1_50_128,extinction risk
time needed to harvest resources,IPBES_GA_2.2_5_55_129,time needed to harvest resources
 distance travelled to harvest resources,IPBES_GA_2.2_5_55_130,distance travelled to harvest resources
 culturally salient species,IPBES_GA_2.2_5_55_131,culturally salient species
 native newcomer species arrive,IPBES_GA_2.2_5_55_132,native newcomer species arrive
 new pests and invasive alien species colonize,IPBES_GA_2.2_5_55_133,new pests and invasive alien species colonize
 forests and grazing lands loss,IPBES_GA_2.2_5_55_134,forests and grazing lands loss
 remnant ecosystems degrade,IPBES_GA_2.2_5_55_135,remnant ecosystems degrade
 health condition and body size of wild animals decrease,IPBES_GA_2.2_5_55_136,health condition and body size of wild animals decrease
tropical forest-monocrop conversions,IPBES_GA_2.2_6_56_137,tropical forest-monocrop conversions
 expansion of settlements,IPBES_GA_2.2_6_56_138,expansion of settlements
 discontinued traditional land-management practices,IPBES_GA_2.2_6_56_139,discontinued traditional land-management practices
 droughts,IPBES_GA_2.2_6_56_140,droughts
 increasingly unpredictable annual distribution of rainfall,IPBES_GA_2.2_6_56_141,increasingly unpredictable annual distribution of rainfall
 arrival of new native and alien species,IPBES_GA_2.2_6_56_142,arrival of new native and alien species
 changing range of wild species,IPBES_GA_2.2_6_56_143,changing range of wild species
 floods,IPBES_GA_2.2_6_56_144,floods
 overexploitation of resources by outsiders and locals,IPBES_GA_2.2_6_56_145,overexploitation of resources by outsiders and locals
Total richness of endemic species,IPBES_GA_2.2_21_61_146,total richness of endemic species
 range-size rarity,IPBES_GA_2.2_21_61_147,range-size rarity
 endemism richness,IPBES_GA_2.2_21_61_148,endemism richness
 weighted endemisms,IPBES_GA_2.2_21_61_149,weighted endemisms
Soil organic carbon,IPBES_GA_2.2_37_70_150,soil organic carbon
 Fraction of ocean not fished per year,IPBES_GA_2.2_37_70_151,fraction of ocean not fished per year
 Extent of marine wilderness,IPBES_GA_2.2_37_70_152,extent of marine wilderness
 Leaf area index,IPBES_GA_2.2_37_70_153,leaf area index (lai)
 Tree cover,IPBES_GA_2.2_37_70_154,tree cover
 Vegetation biomass,IPBES_GA_2.2_37_70_155,vegetation biomass
 Permanent surface water extent,IPBES_GA_2.2_37_70_156,permanent surface water extent
 Aboveground biomass,IPBES_GA_2.2_37_70_157,above-ground biomass
 BHI (overall habitat integrity),IPBES_GA_2.2_37_70_158,biodiversity habitat index
 Land not cultivated or urban (indigenous Lands),IPBES_GA_2.2_37_70_159,land not cultivated or urban (indigenous lands)
 Land not cultivated or urban (Hotspots),IPBES_GA_2.2_37_70_160,land not cultivated or urban (hotspots)
 Land not cultivated or urban (global),IPBES_GA_2.2_37_70_161,land not cultivated or urban
 Natural habitat extent,IPBES_GA_2.2_37_70_162,extent of suitable habitat
 Extent of forests,IPBES_GA_2.2_37_70_163,extent of forests
 Mangrove forest area,IPBES_GA_2.2_37_70_164,mangrove forest area
 Remaining primary vegetation (Indigenous Lands),IPBES_GA_2.2_37_70_165,remaining primary vegetation (indigenous lands)
 Coastal protection habitats,IPBES_GA_2.2_37_70_166,coastal protection habitats
 Percentage live coral cover,IPBES_GA_2.2_37_70_167,live coral cover
 remaining primary vegetations,IPBES_GA_2.2_37_70_168,remaining primary vegetation
 Extent of terrestrial wilderness,IPBES_GA_2.2_37_70_169,extent of terrestrial wilderness
 Extent of intact forest landscapes,IPBES_GA_2.2_37_70_170,extent of intact forest landscapes
 Coastal carbon-rich habitat,IPBES_GA_2.2_37_70_171,coastal carbon-rich habitat
 Wetland extent trends index,IPBES_GA_2.2_37_70_172,wetland extent trends index
 Seagrass meadow area,IPBES_GA_2.2_37_70_173,seagrass meadow area
 Mean annual change in aboveground biomass,IPBES_GA_2.2_37_70_174,mean annual change in above-ground biomass
 Biomass turnover rate,IPBES_GA_2.2_37_70_175,biomass turnover rate
 Oceanic carbon sequestration,IPBES_GA_2.2_37_70_176,oceanic carbon sequestration
 Terrestrial C sequestration,IPBES_GA_2.2_37_70_177,terrestrial c sequestration
 Marine NPP,IPBES_GA_2.2_37_70_178,marine net primary production
 Terrestrial NPP,IPBES_GA_2.2_37_70_179,terrestrial net primary production
 NPP remaining in ecosystems,IPBES_GA_2.2_37_70_180,net primary production
 Evapotranspiration,IPBES_GA_2.2_37_70_181,evapotranspiration
 Biological pump efficiency,IPBES_GA_2.2_37_70_182,biological pump efficiency
 Local species richness,IPBES_GA_2.2_37_70_183,local species richness
 Mean Species abundance Index,IPBES_GA_2.2_37_70_184,mean species abundance (msa)
 Tropical forest BII (Indigenous Lands),IPBES_GA_2.2_37_70_185,"biodiversity intactness index (tropical forest, indigenous lands)"
 Tropical forest BII (overall),IPBES_GA_2.2_37_70_186,biodiversity intactness index (tropical forest)
 Tropical forest BII (hotspots),IPBES_GA_2.2_37_70_187,"biodiversity intactness index (tropical forest, hotspots)"
 Cumulative number of alien species,IPBES_GA_2.2_37_70_188,cumulative introduced invasive aliens
 Cumulative introduced invasive aliens,IPBES_GA_2.2_37_70_189,cumulative introduced invasive aliens
 Bird species per grid cell,IPBES_GA_2.2_37_70_190,bird species per grid cell
 Species richness per grid cell,IPBES_GA_2.2_37_70_191,species richness per grid cell
 Forest-specialist bird species per grid cell,IPBES_GA_2.2_37_70_192,forest-specialist bird species per grid cell
 Functional intactness,IPBES_GA_2.2_37_70_193,functional intactness (madingley)
 Global mammal & bird species remaining,IPBES_GA_2.2_37_70_194,global mammal and bird species remaining
 Red List Index,IPBES_GA_2.2_37_70_195,red list index
 Mammalian range size,IPBES_GA_2.2_37_70_196,mammalian range size
 Megafaunal range size,IPBES_GA_2.2_37_70_197,megafaunal range size
 Species Habitat index,IPBES_GA_2.2_37_70_198,species habitat index
 Extent of suitable habitat,IPBES_GA_2.2_37_70_199,extent of suitable habitat
 wild mammal biomass,IPBES_GA_2.2_37_70_200,wild mammal biomass
 prey fish biomass,IPBES_GA_2.2_37_70_201,prey fish biomass
 fish stocks biologically sustainable,IPBES_GA_2.2_37_70_202,proportion of fish stocks within biologically sustainable levels
 Wild Bird Index,IPBES_GA_2.2_37_70_203,wild bird index
 Predatory fish biomass,IPBES_GA_2.2_37_70_204,predatory fish biomass
seagrass meadow area,IPBES_GA_2.2_38_74_205,seagrass meadow area
 mangrove forest area,IPBES_GA_2.2_38_74_206,mangrove forest area
 live coral cover on reefs,IPBES_GA_2.2_38_74_207,live coral cover
 Ocean health index,IPBES_GA_2.2_38_74_208,ocean health index
Biodiversity habitat index,IPBES_GA_2.2_39_75_209,biodiversity habitat index
 Wetland extent trend index,IPBES_GA_2.2_39_75_210,wetland extent trends index
Aboveground biomass,IPBES_GA_2.2_39_76_211,above-ground biomass
Tree cover,IPBES_GA_2.2_40_77_212,tree cover
Extent of forests,IPBES_GA_2.2_40_78_213,extent of forests
Leaf area index,IPBES_GA_2.2_40_79_214,leaf area index (lai)
Terrestrial Net Primary Production NPP,IPBES_GA_2.2_42_82_215,terrestrial net primary production
 material NCP,IPBES_GA_2.2_42_82_216,material ncp
BioTime Species richness indicator,IPBES_GA_2.2_45_85_217,biotime species richness indicator
 PREDICTS species-richness INDICATOR,IPBES_GA_2.2_45_85_218,local species richness (predicts)
Biodiversity Intactness INDEX,IPBES_GA_2.2_45_87_219,biodiversity intactness index
Biodiversity Intactness Index,IPBES_GA_2.2_46_88_220,biodiversity intactness index
 Mean species abundance,IPBES_GA_2.2_46_88_221,mean species abundance (msa)
Species richness per grid cell,IPBES_GA_2.2_47_90_222,species richness per grid cell
 Average functional intactness,IPBES_GA_2.2_47_90_223,functional intactness (madingley)
Red List INDEX,IPBES_GA_2.2_51_92_224,red list index
 red list index (internationally traded species),IPBES_GA_2.2_51_92_225,red list index (internationally traded species)
 red list index (pollinators),IPBES_GA_2.2_51_92_226,red list index (pollinators)
 red list index (species used for food and medicine),IPBES_GA_2.2_51_92_227,red list index (for utilized species)
 red list index (wild relatives of farmed and domesticated species),IPBES_GA_2.2_51_92_228,red list index (wild relatives of farmed and domesticated species)
Biodiversity Habitat Index,IPBES_GA_2.2_52_95_229,biodiversity habitat index
Marine trophic index,IPBES_GA_2.2_59_101_230,marine trophic index (mti)
Human Footprint,IPBES_GA_2.2_62_105_231,human footprint
trends of populations of palatable or unpalatable species,IPBES_GA_2.2_63_107_232,trends of populations of palatable or unpalatable species
culturally salient wild species populations,IPBES_GA_2.2_65_113_233,culturally salient species
 time needed or distance travelled to harvest resources,IPBES_GA_2.2_65_113_234,distance travelled to harvest resources
 native newcomer species,IPBES_GA_2.2_65_113_235,native newcomer species arrive
 opening up of forest canopy,IPBES_GA_2.2_65_113_236,opening up of forest canopy
" less biomass, more annuals and shrubs on pastures",IPBES_GA_2.2_65_113_237,"less biomass, more annuals and shrubs on pastures"
 proportion of unpalatable plants on rangelands,IPBES_GA_2.2_65_113_238,proportion of unpalatable plants on rangelands
 condition and size of wild animals,IPBES_GA_2.2_65_113_239,condition and size of wild animals
IUCN red list of threatened species,IPBES_GA_2.2_70_120_240,red list index
 Proportion of fish stocks within sustainable levels,IPBES_GA_2.2_70_120_241,proportion of fish stocks within biologically sustainable levels
 mean length of fish,IPBES_GA_2.2_70_120_242,mean length of fish
 local species richness,IPBES_GA_2.2_70_120_243,local species richness
 NPP,IPBES_GA_2.2_70_120_244,net primary production
 Mangrove forest cover,IPBES_GA_2.2_70_120_245,mangrove forest area
 Percentage of live coral cover,IPBES_GA_2.2_70_120_246,percentage of live coral cover
Adverse changes in woody or shrubby vegetation,IPBES_GA_2.2_81_123_247,adverse changes in woody or shrubby vegetation
 adverse changes of unpalatable species,IPBES_GA_2.2_81_123_248,adverse changes of unpalatable species
Global cover of mangroves,IPBES_GA_2.2_91_124_249,global cover of mangroves
 hallow coral reefs,IPBES_GA_2.2_91_124_250,hallow coral reefs
 live coral cover,IPBES_GA_2.2_91_124_251,live coral cover
 severe global bleaching events,IPBES_GA_2.2_91_124_252,severe global bleaching events
 pollinator diversity,IPBES_GA_2.3_2_125_253,pollinator diversity
Species used for medicine,IPBES_GA_2.3_22_127_254,species used for medicine
 Crops and their dietary roles,IPBES_GA_2.3_22_127_255,crops and their dietary roles
 Forest and its role in protecting water sources,IPBES_GA_2.3_22_127_256,forest and its role in protecting water sources
 behavior of animals with importance as food,IPBES_GA_2.3_22_127_257,behavior of animals with importance as food
 changes in crop phenology,IPBES_GA_2.3_22_127_258,changes in crop phenology
 development of crop varieties or landraces,IPBES_GA_2.3_22_127_259,development of crop varieties or landraces
Visitation to national parks,IPBES_GA_2.3_32_132_260,visitation to national parks
 Visitation to urban green spaces,IPBES_GA_2.3_32_132_261,visitation to urban green spaces
Connection to land,IPBES_GA_2.3_36_133_262,connection to land
 Connection to sea,IPBES_GA_2.3_36_133_263,connection to sea
" Terrestrial Net Primary Productivity, evapotranspiration",IPBES_GA_2.3_39_137_264,terrestrial net primary production
 Bare area,IPBES_GA_2.3_39_137_265,bare area
 Soil organic carbon,IPBES_GA_2.3_39_137_266,soil organic carbon
 Area of Floodplain Wetlands,IPBES_GA_2.3_39_137_267,area of floodplain wetlands
 Net Primary Productivity in Forests and on Cultivated Land,IPBES_GA_2.3_39_137_268,net primary productivity in forests and on cultivated land
 Cultivated area,IPBES_GA_2.3_39_137_269,cultivated area
 Aboveground biomass in forests,IPBES_GA_2.3_39_137_270,above-ground biomass in forests
 Medicinal Species as a Fraction of Total Vascular Plant Species,IPBES_GA_2.3_39_137_271,medicinal species as a fraction of total vascular plant species
 Geographical Overlay of Linguistic Diversity and Biodiversity,IPBES_GA_2.3_39_137_272,geographical overlay of linguistic diversity and biodiversity
 Rate of land use change,IPBES_GA_2.3_39_137_273,rate of land use change
Population size,IPBES_GA_2.3_40_140_274,population size
 Spatial distribution,IPBES_GA_2.3_40_140_275,spatial distribution of species
 Animal behavior,IPBES_GA_2.3_40_140_276,animal behavior
 Phenology of economically and/or culturally important wild plant and animal species,IPBES_GA_2.3_40_140_277,phenology of economically and/or culturally important wild plant and animal species
 catch per unit effort,IPBES_GA_2.3_40_140_278,catch per unit effort
 distance travelled to reach a resource,IPBES_GA_2.3_40_140_279,distance travelled to harvest resources
 health of the soil,IPBES_GA_2.3_40_140_280,health of the soil
 density of preferred and palatable species,IPBES_GA_2.3_40_140_281,density of preferred and palatable species
health of the forest,IPBES_GA_2.3_41_142_282,health of the forest
 encounter rates with supernatural forest dwelling entities,IPBES_GA_2.3_41_142_283,encounter rates with supernatural forest dwelling entities
Water availability,IPBES_GA_2.3_42_143_284,water availability
Water available for people relative to demand,IPBES_GA_2.3_42_143_285,water available for people relative to demand
 Extent of ecosystems that filter or add constituent components to water,IPBES_GA_2.3_42_143_286,extent of ecosystems that filter or add constituent components to water
Reduced concentration of pollutants in water,IPBES_GA_2.3_42_143_287,reduced concentration of pollutants in water
Avoided water treatment costs,IPBES_GA_2.3_42_143_288,avoided water treatment costs
Reduced incidence of water borne disease,IPBES_GA_2.3_42_143_289,reduced incidence of water borne disease
Extent of suitable habitat,IPBES_GA_2.3_42_143_290,extent of suitable habitat
Biodiversity intactness index,IPBES_GA_2.3_42_143_291,biodiversity intactness index
Pollinator diversity,IPBES_GA_2.3_42_143_292,pollinator diversity
Abundance of managed and wild pollinators,IPBES_GA_2.3_42_143_293,abundance of managed and wild pollinators
Health associated with intake of pollinator dependent foods,IPBES_GA_2.3_42_143_294,health associated with intake of pollinator dependent foods
Natural habitat in agriculture,IPBES_GA_2.3_42_143_295,natural habitat in agriculture
 Pollen deposition,IPBES_GA_2.3_42_143_296,pollen deposition
Retention and prevented emissions of air pollutants by ecosystems,IPBES_GA_2.3_42_143_297,retention and prevented emissions of air pollutants by ecosystems
Reduced concentrations of PM2.5,IPBES_GA_2.3_42_143_298,reduced concentrations of pm2.5
Avoided morbidity and premature mortality from air pollution,IPBES_GA_2.3_42_143_299,avoided morbidity and premature mortality from air pollution
Avoided costs from air pollution,IPBES_GA_2.3_42_143_300,avoided costs from air pollution
Prevented emissions and uptake of greenhouse gases by ecosystems,IPBES_GA_2.3_42_143_301,prevented emissions and uptake of greenhouse gases by ecosystems
Reduced concentrations of greenhouse gases in the atmosphere,IPBES_GA_2.3_42_143_302,reduced concentrations of greenhouse gases in the atmosphere
Reduction in climate related costs,IPBES_GA_2.3_42_143_303,reduction in climate related costs
Land and ocean carbon sinks,IPBES_GA_2.3_42_143_304,land and ocean carbon sinks
Reduced ocean acidification,IPBES_GA_2.3_42_143_305,reduced ocean acidification
Seafood availability due to ocean acidification,IPBES_GA_2.3_42_143_306,seafood availability due to ocean acidification
Extent of marine calcification Benefits from coral reefs,IPBES_GA_2.3_42_143_307,extent of marine calcification benefits from coral reefs
Soil quality impact on crop production,IPBES_GA_2.3_42_143_308,soil quality impact on crop production
Ability of ecosystems to absorb and buffer hazards,IPBES_GA_2.3_42_143_309,ability of ecosystems to absorb and buffer hazards
Reduced incidence and severity of hazards,IPBES_GA_2.3_42_143_310,reduced incidence and severity of hazards
Reduced morbidity and premature mortality due to natural hazards,IPBES_GA_2.3_42_143_311,reduced morbidity and premature mortality due to natural hazards
Reduced property loss due to natural hazards,IPBES_GA_2.3_42_143_312,reduced property loss due to natural hazards
Reduced food spoilage,IPBES_GA_2.3_42_143_313,reduced food spoilage
Reduced net farm income loss from pests and diseases,IPBES_GA_2.3_42_143_314,reduced net farm income loss from pests and diseases
Diversity of competent hosts of vector-borne diseases,IPBES_GA_2.3_42_143_315,diversity of competent hosts of vector-borne diseases
Reduced risk of disease transmission,IPBES_GA_2.3_42_143_316,reduced risk of disease transmission
Reduced incidence of infectious diseases,IPBES_GA_2.3_42_143_317,reduced incidence of infectious diseases
Extent of agricultural land,IPBES_GA_2.3_42_143_318,extent of agricultural land
Energy content of bioenergy crops,IPBES_GA_2.3_42_143_319,energy content of bioenergy crops
Revenue from bioenergy production,IPBES_GA_2.3_42_143_320,revenue from bioenergy production
Extent of forested land,IPBES_GA_2.3_42_143_321,extent of forests
Production of fuelwood,IPBES_GA_2.3_42_143_322,production of fuelwood
Energy security from bio-energy and fuelwood,IPBES_GA_2.3_42_143_323,energy security from bio-energy and fuelwood
Food produced (kcal),IPBES_GA_2.3_42_143_324,food produced (kcal)
Food quality (nutrients),IPBES_GA_2.3_42_143_325,food quality (nutrients)
Reduced malnutrition,IPBES_GA_2.3_42_143_326,reduced malnutrition
Marine stocks,IPBES_GA_2.3_42_143_327,marine stocks
Reduced hunger,IPBES_GA_2.3_42_143_328,reduced hunger
Seafood produced (kcal),IPBES_GA_2.3_42_143_329,seafood produced (kcal)
Agriculture-based materials produced (tons),IPBES_GA_2.3_42_143_330,agriculture-based materials produced (tons)
Employment in materials production,IPBES_GA_2.3_42_143_331,employment in materials production
Timber production (m3),IPBES_GA_2.3_42_143_332,timber production (m3)
Revenue from forestry,IPBES_GA_2.3_42_143_333,revenue from forestry
Fraction of species known to be medicinal,IPBES_GA_2.3_42_143_334,species used for medicine
Natural medicinal products and manufactured bio-derived medicines,IPBES_GA_2.3_42_143_335,natural medicinal products and manufactured bio-derived medicines
Improved health from natural medicines or bio-derived medicines,IPBES_GA_2.3_42_143_336,improved health from natural medicines or bio-derived medicines
Phylogenetic diversity,IPBES_GA_2.3_42_143_337,phylogenetic diversity
Gene bank accession and available genetic resources,IPBES_GA_2.3_42_143_338,gene bank accession and available genetic resources
Proximity of people and nature,IPBES_GA_2.3_42_143_339,proximity of people and nature
Ideas and products mimicking or inspired by nature,IPBES_GA_2.3_42_143_340,ideas and products mimicking or inspired by nature
Economic value of bio-inspired production,IPBES_GA_2.3_42_143_341,economic value of bio-inspired production
Diversity of life from which to learn,IPBES_GA_2.3_42_143_342,diversity of life from which to learn
Area of natural and traditional landscapes and seascapes,IPBES_GA_2.3_42_143_343,area of natural and traditional landscapes and seascapes
"Visitation rates to natural terrestrial, coastal, and marine areas",IPBES_GA_2.3_42_143_344,"visitation rates to natural terrestrial, coastal, and marine areas"
"Increased awareness, care, mental health, cultural security, life satisfaction - urban",IPBES_GA_2.3_42_143_345,"increased awareness, care, mental health, cultural security, life satisfaction - urban"
"Increased awareness, care, mental health, cultural security, life satisfaction - rural and IPLC",IPBES_GA_2.3_42_143_346,"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc"
"Daily exposure natural terrestrial, coastal and marine areas",IPBES_GA_2.3_42_143_347,"daily exposure natural terrestrial, coastal and marine areas"
Stability of land use and land cover,IPBES_GA_2.3_42_143_348,stability of land use and land cover
Identity value – urban,IPBES_GA_2.3_42_143_349,identity value - urban
Identity value - rural and IPLC,IPBES_GA_2.3_42_143_350,identity value - rural and iplc
Visitation to natural areas,IPBES_GA_2.3_50_149_351,visitation to natural areas
 Percentage of population living in dense urban areas,IPBES_GA_2.3_50_149_352,percentage of population living in dense urban areas
Historic land use change since 1970,IPBES_GA_2.3_53_152_353,historic land use change since 1970
Leaf surface area,IPBES_GA_2.3_56_155_354,leaf surface area
 net carbon sequestration,IPBES_GA_2.3_56_155_355,carbon sequestration
