indicator_orig,indic_id,indicator_harmonized
Wetland area index,GEO_9_16_77_94,wetland area index
Living Planet Index (migratory fish),GEO_9_18_79_95,living planet index (migratory fish)
 water infrastructure,GEO_9_18_80_96,water infrastructure
" drinking water supply, treatment and distribution",GEO_9_18_80_97,"drinking water supply, treatment and distribution"
" provision of safe, reliable drinking water",GEO_9_18_80_98,"provision of safe, reliable drinking water"
Air Quality Index,GEO_12_12_111_99,air quality index
 US National Ambient Air Quality Standards,GEO_12_12_111_100,us national ambient air quality standards
Population-weighted annual mean concentration of PM2.5,GEO_12_15_115_101,population-weighted annual mean concentration of pm2.5
 Emissions of ozone-depleting substances,GEO_12_15_115_102,emissions of ozone-depleting substances
 Anthropogenic emissions of long-lived greenhouse gases (CO2 equivalents),GEO_12_15_115_103,anthropogenic emissions of long-lived greenhouse gases (co2 equivalents)
Exposure to PM concentrations (Population-weighted annual mean concentration of PM2.5),GEO_12_16_117_104,exposure to pm concentrations (population-weighted annual mean concentration of pm2.5)
PM2.5 emissions,GEO_12_16_119_105,pm2.5 emissions
 SO2 emissions,GEO_12_16_119_106,so2 emissions
 NO emissions,GEO_12_16_119_107,no emissions
 NH3 emissions,GEO_12_16_119_108,nh3 emissions
emissions of ozone-depleting substances,GEO_12_17_120_109,emissions of ozone-depleting substances
anthropogenic emissions of long-lived greenhouse gases (GHG emissions),GEO_12_18_121_110,anthropogenic emissions of long-lived greenhouse gases (ghg emissions)
GHG emissions,GEO_12_18_122_111,ghg emissions
 Global Warming Potential Index,GEO_12_18_122_112,global warming potential index
Global Temperature Potential,GEO_12_18_124_113,global temperature potential
City Biodiversity Index,GEO_13_14_128_114,city biodiversity index
Ecological footprint,GEO_13_14_129_115,ecological footprint
 Global capacity,GEO_13_14_129_116,global capacity
Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,GEO_13_17_134_117,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
presense of endemic species,GEO_13_18_135_118,presense of endemic species
