indicator_harmonized,indic_ids,geo_extracted
number of residents living in floodplains,GEO_17_8_200,1
number of vulnerable marine ecosystems,GEO_14_16_155,1
nutrient pollution,GEO_14_15_152,1
nutrient runoff into oceans (n and p),GEO_20_8_234,1
nutrition,GEO_3_5_16,1
o recovery,GEO_5_17_42,1
o3 concentration,GEO_5_17_41;GEO_5_17_42,1
o3 emissions,GEO_20_6_228,1
ocean acidification,GEO_2_26_7,1
ocean health index,GEO_6_8_48,1
ocean heat content and specific humidity,GEO_2_26_7,1
odss and ghgs,GEO_5_17_41,1
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173,1
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233,1
piped drinking water,GEO_22_21_257,1
plastic debris density,GEO_7_19_66;GEO_14_15_152;GEO_14_15_154;GEO_20_8_234,1
pm 10 emissions,GEO_20_6_228,1
pm 2.5 emissions,GEO_20_6_228,1
pm2.5 emissions,GEO_12_16_119,1
polar ice sheets,GEO_4_13_34,1
population-weighted annual mean concentration of pm2.5,GEO_12_15_115,1
poverty,GEO_3_5_16,1
premature deaths,GEO_5_19_45,1
premature deaths in 2016 to household air pollution,GEO_5_19_45,1
presense of endemic species,GEO_13_18_135,1
pressure ozone trend,GEO_5_17_42,1
projections of global fisheries under an unchanged climate and current management scenario,GEO_21_17_250,1
proportion of agricultural area under productive and sustainable agriculture,GEO_17_11_203,1
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,GEO_13_17_134,1
proportion of fish stocks within biologically sustainable levels,GEO_20_8_234;GEO_21_17_250;GEO_21_17_250,1
proportion of land that is degraded over total land area,GEO_15_17_161;GEO_20_8_234,1
proportion of population using safely managed drinking water services,GEO_16_14_181;GEO_16_16_185,1
proportion of population using safely managed sanitation services,GEO_16_14_181;GEO_16_17_187,1
proportion of terrestrial protected area as a share of the total land area,GEO_15_17_161;GEO_15_19_166;GEO_15_19_167;GEO_15_19_168,1
proportion of the global population using piped water supplies on premises,GEO_16_16_185,1
"provision of safe, reliable drinking water",GEO_9_18_80,1
quantity of land area known to have (in)sufficient infrastructure against flooding,GEO_17_8_200,1
ratio of land consumption rate to population growth rate,GEO_15_17_161;GEO_15_20_171,1
