indicator_harmonized,indic_ids,ipbes_extracted
current distribution of species,IPBES_IAS_2_155_79,1
cyclical patterns of abundance,IPBES_SUA_2_96_79,1
"daily exposure natural terrestrial, coastal and marine areas",IPBES_GA_2.3_42_143,1
demand for greener products and services,IPBES_GA_3_26_355,1
density of preferred and palatable species,IPBES_GA_2.3_40_140,1
development of crop varieties or landraces,IPBES_GA_2.3_22_127,1
discontinued traditional land-management practices,IPBES_GA_2.2_6_56,1
distance travelled to harvest resources,IPBES_GA_2.2_5_55;IPBES_GA_2.2_65_113;IPBES_GA_2.3_40_140,1
diversity of competent hosts of vector-borne diseases,IPBES_GA_2.3_42_143,1
diversity of life from which to learn,IPBES_GA_2.3_42_143,1
domestic material consumption,IPBES_GA_2_24_29,1
droughts,IPBES_GA_2.2_6_56,1
ecolabel index,IPBES_SUA_2_93_72,1
ecological footprint,IPBES_GA_1_52_19;IPBES_GA_5_73_254;IPBES_GA_3_15_329;IPBES_GA_3_26_355;IPBES_VA_2_38_29,1
economic value of bio-inspired production,IPBES_GA_2.3_42_143,1
employment in materials production,IPBES_GA_2.3_42_143,1
encounter rates with supernatural forest dwelling entities,IPBES_GA_2.3_41_142,1
endemic species richness,IPBES_VA_2_10_12,1
endemism richness,IPBES_GA_2.2_21_61,1
energy content of bioenergy crops,IPBES_GA_2.3_42_143,1
energy security from bio-energy and fuelwood,IPBES_GA_2.3_42_143,1
environmental awareness,IPBES_VA_2_10_12,1
environmental change,IPBES_SUA_2_97_80,1
environmental component of the social sustainability index,IPBES_GA_2_25_34,1
environmental performance index,IPBES_GA_2_25_34;IPBES_GA_5_104_261;IPBES_GA_5_107_262,1
estimated fisheries catch and fishing effort,IPBES_GA_1_52_19,1
ethnographic accounts,IPBES_VA_2_38_28,1
evapotranspiration,IPBES_GA_2.2_37_70,1
evolutionary diversity,IPBES_IAS_3_84_95,1
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IPBES_IAS_6_14_142,1
expansion of settlements,IPBES_GA_2.2_6_56,1
extent of agricultural land,IPBES_GA_2.3_42_143,1
extent of ecosystems that filter or add constituent components to water,IPBES_GA_2.3_42_143,1
extent of forests,IPBES_GA_2.2_1_50;IPBES_GA_2.2_37_70;IPBES_GA_2.2_40_78;IPBES_GA_2.3_42_143,1
extent of intact forest landscapes,IPBES_GA_2.2_37_70,1
extent of marine calcification benefits from coral reefs,IPBES_GA_2.3_42_143,1
extent of marine wilderness,IPBES_GA_2.2_37_70,1
extent of protected and intact habitat globally,IPBES_GA_2.3_59_157,1
extent of suitable habitat,IPBES_GA_2.2_37_70;IPBES_GA_2.2_37_70;IPBES_GA_2.3_42_143;IPBES_GA_3_15_329,1
extent of suitable habitat index (esh),IPBES_GA_5_34_243,1
extent of terrestrial wilderness,IPBES_GA_2.2_37_70,1
extent of which essential policy and management approaches have been adopted,IPBES_IAS_6_56_150,1
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",IPBES_VA_6_52_152,1
extinction risk,IPBES_GA_2.2_1_50,1
extinction risk of wild relatives of domesticated or farmed birds and mammals,IPBES_GA_3_44_371,1
extraction of living biomass,IPBES_GA_2_83_42,1
extraction of non-human materials,IPBES_GA_2_118_47,1
extraction of non-living materials,IPBES_GA_2_83_42,1
farmland bird index,IPBES_SUA_4_51_116,1
fertilizer use,IPBES_GA_2_83_42,1
fewer lives lost,IPBES_VA_2_76_48,1
fisheries exploitation rates,IPBES_GA_3_164_441,1
fisheries stock size,IPBES_GA_3_164_441,1
floods,IPBES_GA_2.2_6_56,1
food produced (kcal),IPBES_GA_2.3_42_143,1
food quality (nutrients),IPBES_GA_2.3_42_143,1
forest and its role in protecting water sources,IPBES_GA_2.3_22_127,1
forest area as a percentage of total land area,IPBES_GA_1_52_19,1
forest-specialist bird species per grid cell,IPBES_GA_2.2_37_70,1
forests and grazing lands loss,IPBES_GA_2.2_5_55,1
fraction of ocean not fished per year,IPBES_GA_2.2_37_70,1
functional diversity,IPBES_IAS_5_109_131,1
functional intactness (madingley),IPBES_GA_2.2_37_70;IPBES_GA_2.2_47_90,1
funding for environmental education,IPBES_GA_3_15_329,1
funding for environmental impact assessments,IPBES_GA_3_15_329,1
funding towards institutional capacity building in fisheries,IPBES_GA_3_15_329,1
gene bank accession and available genetic resources,IPBES_GA_2.3_42_143,1
genetic diversity,IPBES_VA_2_10_12;IPBES_VA_2_38_28,1
genuine progress indicator,IPBES_GA_6_139_289;IPBES_VA_2_8_10;IPBES_VA_2_38_29;IPBES_VA_5_78_136;IPBES_VA_6_21_143;IPBES_IAS_6_85_153,1
geographical overlay of linguistic diversity and biodiversity,IPBES_GA_2.3_39_137,1
gini index,IPBES_GA_5_80_256,1
glacier mass balance,IPBES_GA_3_51_381,1
global climate risk index,IPBES_GA_1_52_19,1
global cover of mangroves,IPBES_GA_2.2_91_124,1
global ecosystem restoration index,IPBES_GA_1_52_19,1
global effort in bottom-trawling,IPBES_GA_1_52_19;IPBES_GA_4_152_225;IPBES_GA_3_15_329,1
global funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143,1
global index on indigenous peoples' well-being,IPBES_VA_3_63_79,1
global linguistic diversity index and language threat level,IPBES_GA_1_52_19,1
global mammal and bird species remaining,IPBES_GA_2.2_37_70,1
global scale ecosystem carbon storage,IPBES_GA_4_87_186,1
globalization index,IPBES_GA_2_24_29,1
governance index,IPBES_SUA_6_77_200,1
green consumption,IPBES_GA_3_26_355,1
green gross domestic product,IPBES_VA_6_22_145,1
greenhouse gas emissions,IPBES_GA_2_83_42,1
gross domestic product,IPBES_GA_1_19_6;IPBES_GA_2_20_26;IPBES_GA_2_24_29;IPBES_GA_6_139_289;IPBES_SUA_1_11_4;IPBES_SUA_4_149_137;IPBES_VA_2_10_12;IPBES_VA_2_38_29;IPBES_VA_5_78_136;IPBES_VA_6_61_155;IPBES_IAS_2_5_11;IPBES_IAS_3_8_84;IPBES_IAS_3_34_90;IPBES_IAS_6_85_153,1
gross ecosystem product,IPBES_VA_4_89_124,1
gross national happiness index,IPBES_GA_1_19_6;IPBES_GA_5_69_253;IPBES_GA_6_140_290;IPBES_SUA_1_12_5;IPBES_VA_2_29_20;IPBES_IAS_6_85_153,1
gross national happiness index of bhutan,IPBES_VA_6_21_143,1
gross national product,IPBES_IAS_6_85_153,1
growth in human appropriation of net primary productivity,IPBES_GA_3_26_355,1
growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,1
habitat area and quality,IPBES_GA_4_34_176,1
habitat conditions,IPBES_SUA_4_89_132,1
habitat quality,IPBES_SUA_2_95_77,1
hallow coral reefs,IPBES_GA_2.2_91_124,1
happiness,IPBES_VA_3_41_70,1
happy planet index,IPBES_GA_5_69_253;IPBES_GA_5_108_263,1
harvest intensity,IPBES_SUA_2_95_77,1
health associated with intake of pollinator dependent foods,IPBES_GA_2.3_42_143,1
health condition and body size of wild animals decrease,IPBES_GA_2.2_5_55,1
health of the forest,IPBES_GA_2.3_41_142,1
health of the soil,IPBES_GA_2.3_40_140,1
historic land use change since 1970,IPBES_GA_2.3_53_152,1
holistic health model,IPBES_VA_3_63_79,1
human appropriation of fresh water,IPBES_GA_3_15_329,1
human appropriation of net primary productivity,IPBES_GA_1_52_19;IPBES_VA_2_38_29,1
human development index (hdi),IPBES_GA_1_19_6;IPBES_GA_1_31_9;IPBES_GA_2_24_29;IPBES_GA_2_22_30;IPBES_GA_5_68_252;IPBES_GA_3_77_402;IPBES_GA_3_97_413;IPBES_SUA_1_12_5;IPBES_VA_5_78_136;IPBES_IAS_2_18_24,1
human footprint,IPBES_GA_2.2_62_105,1
human population density,IPBES_IAS_3_8_84,1
human population size,IPBES_IAS_2_5_11,1
hunting success,IPBES_SUA_2_97_80,1
ideas and products mimicking or inspired by nature,IPBES_GA_2.3_42_143,1
identity value - rural and iplc,IPBES_GA_2.3_42_143,1
identity value - urban,IPBES_GA_2.3_42_143,1
impact of agricultural habitat conversion on birds,IPBES_SUA_4_42_113,1
"impact of alien species on sensitive places, species and functions",IPBES_IAS_6_97_160,1
importance of forests to people,IPBES_SUA_2_92_69,1
improved health from natural medicines or bio-derived medicines,IPBES_GA_2.3_42_143,1
improvement in conseration status of species threatened by invasive alien species,IPBES_IAS_6_119_174,1
inclusion of historically disadvantaged stakeholders,IPBES_VA_2_10_12,1
inclusive wealth,IPBES_GA_1_19_6;IPBES_SUA_1_12_5;IPBES_VA_2_7_9;IPBES_VA_2_39_33;IPBES_VA_3_114_99;IPBES_VA_5_78_136,1
income,IPBES_GA_2_25_31;IPBES_SUA_4_149_137,1
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",IPBES_GA_2.3_42_143,1
"increased awareness, care, mental health, cultural security, life satisfaction - urban",IPBES_GA_2.3_42_143,1
increasingly unpredictable annual distribution of rainfall,IPBES_GA_2.2_6_56,1
index of sustainable economic welfare (isew),IPBES_GA_6_139_289;IPBES_VA_2_38_29;IPBES_VA_2_39_33;IPBES_IAS_6_85_153,1
individual deprivation measure,IPBES_GA_3_97_413,1
"information provided through the financial reporting framework, adopted by decision xii/3",IPBES_GA_1_52_19,1
inland fishery production,IPBES_GA_1_52_19;IPBES_GA_1_52_19,1
intensity of weather,IPBES_SUA_2_97_80,1
international migrant stock,IPBES_GA_2_24_29,1
interventions to limit spread and reduce impact of alien species,IPBES_IAS_6_97_160,1
invasive alien species are given new names by indigenous peoples and local communities,IPBES_IAS_1_53_8,1
invasive alien species impact,IPBES_IAS_6_114_165,1
land and ocean carbon sinks,IPBES_GA_2.3_42_143,1
land not cultivated or urban,IPBES_GA_2.2_37_70,1
land not cultivated or urban (hotspots),IPBES_GA_2.2_37_70,1
land not cultivated or urban (indigenous lands),IPBES_GA_2.2_37_70,1
land under cereal production (ha),IPBES_GA_1_52_19,1
land use change,IPBES_GA_2_83_42,1
leaf area index (lai),IPBES_GA_2.2_37_70;IPBES_GA_2.2_40_79,1
leaf surface area,IPBES_GA_2.3_56_155,1
"less biomass, more annuals and shrubs on pastures",IPBES_GA_2.2_65_113,1
life expectancy,IPBES_GA_2_25_31,1
life satisfaction,IPBES_VA_3_41_70,1
linguistic diversity index,IPBES_GA_2_41_36,1
live coral cover,IPBES_GA_2.2_37_70;IPBES_GA_2.2_38_74;IPBES_GA_2.2_91_124,1
livelihood dependence,IPBES_VA_3_2_52,1
living conditions in the arctic,IPBES_VA_3_63_79,1
living planet index,IPBES_GA_1_52_19;IPBES_GA_4_144_217;IPBES_GA_5_10_235;IPBES_GA_5_34_243;IPBES_GA_3_41_369;IPBES_SUA_4_256_160,1
local species richness,IPBES_GA_2.2_37_70;IPBES_GA_2.2_70_120;IPBES_IAS_4_22_102,1
local species richness (predicts),IPBES_GA_2.2_45_85,1
loss of lichen diversity,IPBES_SUA_4_47_115,1
macroinvertebrate-based indices,IPBES_IAS_5_130_134,1
mammalian range size,IPBES_GA_2.2_37_70,1
mangrove forest area,IPBES_GA_2.2_37_70;IPBES_GA_2.2_38_74;IPBES_GA_2.2_70_120;IPBES_VA_2_76_48,1
marine net primary production,IPBES_GA_2.2_37_70,1
marine stewardship council certified catch,IPBES_SUA_2_90_65,1
marine stewardship council certified fisheries,IPBES_GA_4_152_225;IPBES_GA_3_15_329,1
marine stewardship council engaged fisheries,IPBES_GA_3_72_395,1
marine stocks,IPBES_GA_2.3_42_143,1
marine trophic index (mti),IPBES_GA_1_52_19;IPBES_GA_2.2_59_101;IPBES_GA_3_15_329;IPBES_GA_3_55_389,1
material ncp,IPBES_GA_2.2_42_82,1
material wealth,IPBES_SUA_4_149_140,1
mean annual change in above-ground biomass,IPBES_GA_2.2_37_70,1
mean annual precipitation,IPBES_IAS_3_8_84,1
mean annual temperature,IPBES_IAS_3_8_84,1
mean body length,IPBES_IAS_4_22_102,1
mean body mass,IPBES_SUA_2_97_80,1
mean length of fish,IPBES_GA_1_52_19;IPBES_GA_2.2_70_120,1
mean polar sea ice extent,IPBES_GA_3_51_381,1
mean species abundance (msa),IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_46_88;IPBES_GA_5_34_243,1
medicinal species as a fraction of total vascular plant species,IPBES_GA_2.3_39_137,1
megafaunal range size,IPBES_GA_2.2_37_70,1
merchandise exports,IPBES_GA_2_24_29,1
mibid index,IPBES_GA_6_122_285,1
migratory birds threatened or near threatened on the red list index,IPBES_GA_3_150_436,1
mortality rate under 5,IPBES_GA_2_24_29,1
multidimensional poverty index,IPBES_GA_3_97_413;IPBES_SUA_4_149_138,1
