indicator_harmonized,indic_ids,ipbes_extracted
quality and abundance of food and medicine species,IPBES_SUA_2_95_77;IPBES_SUA_2_96_79,1
quality of governance index,IPBES_SUA_4_61_118,1
ramsar sites,IPBES_GA_1_52_19,1
range contractions,IPBES_GA_2.3_75_161,1
range-size rarity,IPBES_GA_2.2_21_61,1
rate of invasive alien species establishment,IPBES_IAS_6_119_173,1
rate of land use change,IPBES_GA_2.3_39_137,1
rate of species accumulation,IPBES_IAS_2_15_20,1
rate of use of pesticides,IPBES_VA_3_26_59,1
rate of wood removal,IPBES_VA_3_26_59,1
recognition and value of forest-management knowledge and skills of local people,IPBES_SUA_2_92_69,1
red list index,IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_51_92;IPBES_GA_2.2_70_120;IPBES_GA_4_30_175;IPBES_GA_3_40_368;IPBES_GA_3_45_374;IPBES_GA_3_150_436;IPBES_SUA_1_1_1;IPBES_SUA_1_22_10;IPBES_SUA_4_70_126;IPBES_SUA_4_71_127;IPBES_IAS_2_48_40;IPBES_IAS_4_22_102;IPBES_IAS_5_52_127,1
red list index (birds and mammals),IPBES_GA_3_51_382,1
red list index (for utilized species),IPBES_GA_2.2_51_92;IPBES_GA_3_15_329,1
red list index (forest specialists),IPBES_GA_3_15_329,1
red list index (impacts of fisheries),IPBES_GA_3_15_329,1
red list index (impacts of invasive alien species),IPBES_GA_3_72_395,1
red list index (impacts of pollution),IPBES_GA_3_72_395,1
red list index (internationally traded species),IPBES_GA_2.2_51_92;IPBES_GA_3_15_329,1
red list index (pollinators),IPBES_GA_2.2_51_92,1
red list index (vertebrate pollinators),IPBES_GA_3_45_374,1
red list index (wild relatives of farmed and domesticated species),IPBES_GA_2.2_51_92,1
reduced concentration of pollutants in water,IPBES_GA_2.3_42_143,1
reduced concentrations of greenhouse gases in the atmosphere,IPBES_GA_2.3_42_143,1
reduced concentrations of pm2.5,IPBES_GA_2.3_42_143,1
reduced cost of road construction,IPBES_VA_2_76_48,1
reduced cost of road maintenance,IPBES_VA_2_76_48,1
reduced food spoilage,IPBES_GA_2.3_42_143,1
reduced hunger,IPBES_GA_2.3_42_143,1
reduced incidence and severity of hazards,IPBES_GA_2.3_42_143,1
reduced incidence of infectious diseases,IPBES_GA_2.3_42_143,1
reduced incidence of water borne disease,IPBES_GA_2.3_42_143,1
reduced malnutrition,IPBES_GA_2.3_42_143,1
reduced morbidity and premature mortality due to natural hazards,IPBES_GA_2.3_42_143,1
reduced net farm income loss from pests and diseases,IPBES_GA_2.3_42_143,1
reduced ocean acidification,IPBES_GA_2.3_42_143,1
reduced property loss due to natural hazards,IPBES_GA_2.3_42_143,1
reduced risk of disease transmission,IPBES_GA_2.3_42_143,1
reduction in climate related costs,IPBES_GA_2.3_42_143,1
relevant research funding,IPBES_GA_3_49_379,1
remaining primary vegetation,IPBES_GA_2.2_37_70,1
remaining primary vegetation (indigenous lands),IPBES_GA_2.2_37_70,1
remnant ecosystems degrade,IPBES_GA_2.2_5_55,1
reproduction rate,IPBES_GA_4_34_176,1
reproductive success,IPBES_SUA_4_78_130;IPBES_SUA_4_89_132,1
resilience of forest-dependent communities,IPBES_SUA_2_92_69,1
resourcing of invasive alien species prevention and control activities,IPBES_IAS_6_14_142,1
retention and prevented emissions of air pollutants by ecosystems,IPBES_GA_2.3_42_143,1
revenue from bioenergy production,IPBES_GA_2.3_42_143,1
revenue from forestry,IPBES_GA_2.3_42_143,1
rule of law index,IPBES_GA_5_104_261,1
seafood availability due to ocean acidification,IPBES_GA_2.3_42_143,1
seafood produced (kcal),IPBES_GA_2.3_42_143,1
seagrass meadow area,IPBES_GA_2.2_37_70;IPBES_GA_2.2_38_74,1
severe global bleaching events,IPBES_GA_2.2_91_124,1
share of main groups of species in fish trade in terms of value,IPBES_SUA_2_90_65,1
sharing and trading institutions,IPBES_SUA_2_95_77,1
ship calls,IPBES_IAS_2_5_11,1
social progress index,IPBES_GA_2_25_34,1
social welfare function (swf),IPBES_VA_3_96_97,1
soil organic carbon,IPBES_GA_2.2_37_70;IPBES_GA_2.3_39_137,1
soil quality impact on crop production,IPBES_GA_2.3_42_143,1
sounds associated with the forest,IPBES_SUA_2_97_80,1
spatial densities of relational values in an area,IPBES_VA_2_38_28,1
spatial distribution of species,IPBES_GA_2.3_40_140;IPBES_SUA_2_96_79,1
species area relationship,IPBES_GA_5_34_243,1
species condition index,IPBES_IAS_4_64_104,1
species distribution area and shift,IPBES_GA_4_34_176,1
species growth rate,IPBES_IAS_4_64_104,1
species habitat index,IPBES_GA_1_52_19;IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_3_54_387,1
species negatively impacting biodiversity,IPBES_IAS_6_56_150,1
species occurrence records accessible through the global biodiversity information facility,IPBES_GA_1_52_19,1
species protection index,IPBES_GA_1_52_19,1
species represented in the barcode of life data system,IPBES_GA_1_52_19,1
species richness,IPBES_GA_4_34_176;IPBES_IAS_3_84_95,1
species richness per grid cell,IPBES_GA_2.2_37_70;IPBES_GA_2.2_47_90,1
species status index,IPBES_GA_1_52_19,1
species used for medicine,IPBES_GA_2.3_22_127;IPBES_GA_2.3_42_143,1
species with data included in the global biodiversity information facility,IPBES_GA_3_49_379,1
spread of alien species by pathway,IPBES_IAS_6_97_160,1
stability of land use and land cover,IPBES_GA_2.3_42_143,1
status of an individual or species as native or alien,IPBES_IAS_6_114_165,1
stock values of natural capital,IPBES_VA_2_38_28,1
strength of people’s connection to the forest,IPBES_SUA_2_97_80,1
structural and functional connectivity of habitat,IPBES_VA_2_38_28,1
sustainability dashboard,IPBES_VA_2_8_10,1
sustainable development goals index,IPBES_GA_4_147_220;IPBES_VA_2_38_29,1
sustainable development index (sdi),IPBES_VA_5_78_136,1
sustainable economic welfare (isew),IPBES_VA_5_78_136,1
sustainable well-being index (swi),IPBES_VA_2_38_29,1
temperature,IPBES_IAS_2_5_11,1
temporal species turnover,IPBES_GA_1_52_19,1
terrestrial c sequestration,IPBES_GA_2.2_37_70,1
terrestrial net primary production,IPBES_GA_2.2_37_70;IPBES_GA_2.2_42_82;IPBES_GA_2.3_39_137,1
terrestrial vegetation biomass,IPBES_GA_2.2_1_50,1
themes in a text representing nature´s values,IPBES_VA_2_38_28,1
timber production (m3),IPBES_GA_2.3_42_143,1
time needed to harvest resources,IPBES_GA_2.2_5_55,1
total dissolved solids (tds),IPBES_GA_3_74_399,1
total greenhouse gas emissions per year,IPBES_GA_2_118_47,1
total imports,IPBES_IAS_2_5_11,1
total land footprint,IPBES_GA_2_118_47,1
total number of introduced alien species,IPBES_IAS_2_15_20,1
total population,IPBES_GA_2_24_29,1
total richness of endemic species,IPBES_GA_2.2_21_61,1
total wood removals,IPBES_GA_1_52_19,1
totem or culturally important species,IPBES_IAS_4_140_116,1
trade in wild animals,IPBES_SUA_4_184_143,1
trade in wild mammals,IPBES_SUA_4_184_143,1
transfer of water to the atmosphere,IPBES_GA_2.3_56_155,1
tree biomass,IPBES_IAS_3_84_95,1
tree cover,IPBES_GA_2.2_1_50;IPBES_GA_2.2_37_70;IPBES_GA_2.2_40_77;IPBES_GA_3_15_329;IPBES_GA_3_55_389;IPBES_GA_3_72_395,1
trend in carbon intensity,IPBES_GA_1_52_19,1
trends in adoption of multinational agreements to reduce invasive alien species threats,IPBES_IAS_6_21_146,1
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,1
trends in extinction risk of birds impacted by invasive species,IPBES_IAS_6_21_146,1
trends in fisheries certified by the msc,IPBES_GA_1_52_19,1
trends in forest extent,IPBES_GA_1_52_19,1
trends in invasive alien species eradication at different scales,IPBES_IAS_6_21_146,1
trends in invasive alien species relevant submissions to managers,IPBES_IAS_6_21_146,1
trends in invasive alien species vertebrate eradications,IPBES_GA_1_52_19,1
trends in nitrogen deposition,IPBES_GA_1_52_19,1
trends in numbers and spatial distribution of invasive alien species and their impacts,IPBES_IAS_6_119_174,1
trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,1
trends in numbers of facilities in the region,IPBES_IAS_6_21_146,1
trends in numbers of invasive alien species and their impacts,IPBES_IAS_6_11_138,1
trends in pathways of introduction and spread,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,1
trends in pesticide use,IPBES_GA_1_52_19,1
trends in potentially harmful elements of government support to agriculture (produced support estimates),IPBES_GA_1_52_19,1
trends in potentially harmful elements of government support to fisheries,IPBES_GA_1_52_19,1
trends in species at risk of localized extinction in a protected area,IPBES_IAS_6_56_150,1
trends in successful control and eradications of invasive alien species,IPBES_IAS_6_11_138,1
trends in successful eradications of invasive alien species,IPBES_IAS_6_119_174,1
trends in the allocation of resources towards the prevention or control of invasive alien species,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,1
trends in the numbers of invasive alien species introduction events,IPBES_GA_1_52_19,1
trends in the prevention and eradication and control of invasive alien species,IPBES_IAS_6_119_174,1
trends in the prevention of invasive alien species,IPBES_IAS_6_11_138,1
trends of populations of palatable or unpalatable species,IPBES_GA_2.2_63_107,1
"trends, mechanisms and severity of invasive alien species impacts",IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,1
tropical forest-monocrop conversions,IPBES_GA_2.2_6_56,1
undp human development dashboard,IPBES_VA_2_8_10,1
united nations system of environmental economic accounting,IPBES_VA_2_39_33,1
uplisting of species or populations from appendix ii to appendix i,IPBES_SUA_4_66_123,1
use of natural resource,IPBES_VA_3_2_52,1
value of merchandise being exported,IPBES_GA_2_22_28,1
variability in migration patterns,IPBES_SUA_2_97_80,1
vegetation biomass,IPBES_GA_2.2_37_70,1
"visitation rates to natural terrestrial, coastal, and marine areas",IPBES_GA_2.3_42_143,1
visitation to national parks,IPBES_GA_2.3_32_132,1
visitation to natural areas,IPBES_GA_2.3_50_149,1
visitation to urban green spaces,IPBES_GA_2.3_32_132,1
water availability,IPBES_GA_2.3_42_143,1
water available for people relative to demand,IPBES_GA_2.3_42_143,1
water footprint,IPBES_GA_1_52_19;IPBES_GA_3_26_355,1
water quality,IPBES_GA_3_123_420,1
water quality index (watqi),IPBES_GA_2_110_45,1
water quality risk index,IPBES_GA_6_93_281,1
weather patterns,IPBES_SUA_2_95_77,1
weighted endemisms,IPBES_GA_2.2_21_61,1
wetland extent trends index,IPBES_GA_1_52_19;IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_39_75;IPBES_GA_3_15_329,1
wild bird index,IPBES_GA_2.2_37_70,1
wild bird index (farmland birds),IPBES_GA_3_15_329;IPBES_GA_3_31_358,1
wild bird index (habitat specialists),IPBES_GA_3_15_329;IPBES_GA_3_51_381,1
wild mammal biomass,IPBES_GA_2.2_37_70,1
wildlife picture index,IPBES_GA_1_52_19,1
willingness to allocate time for nature´s contributions to people conservation,IPBES_VA_2_37_25;IPBES_VA_2_63_45,1
willingness to give up access to land or other resources to protect nature,IPBES_VA_3_76_86,1
willingness to pay to protect nature or improve ecosystem services,IPBES_VA_2_18_19;IPBES_VA_2_63_45;IPBES_VA_3_76_86,1
world happiness index,IPBES_GA_2_25_34,1
world trade organisation greenbox agricultural subsidies,IPBES_GA_3_15_329,1
