Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
extent to which protected areas and other effective area-based conservation measures cover key biodiversity areas that are important for migratory species,GBF,ecosystems,State of ecosystems,1,mea,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,biodiversity,State of biodiversity
extinction risk,IPBES,biodiversity,Change in biodiversity,1,assessment,total extinction risk,biodiversity,Species conservation
extinction risk of wild relatives of domesticated or farmed birds and mammals,IPBES,Ecosystem services,Nature contribution,1,assessment,extinction risk of wild relatives of domesticated or farmed birds and mammals,biodiversity,Change in biodiversity
extraction all of biomass,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction all of biomass,,
extraction biomass animals,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction biomass animals,,
extraction biomass feed,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction biomass feed,,
extraction biomass food,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction biomass food,,
extraction biomass forestry,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction Biomass Forstry,,
extraction fossil-fuel,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction fossil fuel,,
extraction of industrial and constrution minerals,IPBES,Human assets,Infrastructure (build-up area),1,assessment,Extraction of ind. & const. minerals,,
extraction of living biomass,IPBES,Ecosystem services,Nature contribution,1,assessment,Extraction of living biomass,,
extraction of non-human materials,IPBES,Ecosystem services,Nature contribution,1,assessment,Extraction of non-human materials,,
extraction of non-living materials,IPBES,Ecosystem services,Nature contribution,1,assessment,Extraction of non-living materials,,
extraction ores,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction ores,,
extraction other biomass,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Extraction other biomass,,
extreme canopy temperatures,IPCC,ecosystems,Abiotic conditions,1,assessment,Extreme canopy temperatures,,
extreme low runoff,IPCC,ecosystems,Abiotic conditions,1,assessment,Extreme low runoff,,
extreme temperatures,IPCC,ecosystems,Abiotic conditions,1,assessment,Extreme temperatures,,
farmland bird index,IPBES,biodiversity,State of biodiversity,1,assessment,Farmland Bird Index,,
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SDG;IPBES,Human assets,Coverage of basic needs,2,both,"Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",,
fertility rates,GEO,Human well-being,Healthy living conditions,1,assessment,fertility rates,,
fertilizer price,GEO,Direct drivers,Pollution,1,assessment,fertilizer price,,
fertilizer use,GBF;IPBES,Direct drivers,Pollution,2,both,Fertilizer use,,
fertilizers used,IPBES,Direct drivers,Pollution,1,assessment,Fertilizers used per unit area,,
fewer lives lost,IPBES,Human well-being,Healthy living conditions,1,assessment,fewer lives lost,,
finance mobilized for capacity-building,GBF,Governance,Legislation/governance,1,mea,Finance mobilized for capacity-building,,
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF,Governance,Legislation/governance,1,mea,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",,
"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",GBF,Governance,Legislation/governance,1,mea,"Financial and technical assistance provided in dollars (including through South-South, North-South and triangular cooperation)",,
financial soundness indicators,SDG,Governance,Legislation/governance,1,mea,Financial Soundness Indicators,,
fire disturbances/burned areas,IPCC,Direct drivers,Natural drivers,1,assessment,fire disturbances/burned areas,,
fire risk,IPCC,Direct drivers,Natural drivers,1,assessment,fire risk,,
fire weather index (fwi),IPCC,Direct drivers,Natural drivers,1,assessment,fire Weather INDEX (FWI); Fire weather index (fwi),,
first and last days of snow cover,IPCC,ecosystems,Abiotic conditions,1,assessment,the first and last days of snow cover,ecosystems,State of ecosystems
fish abundance and biomass,GBF,biodiversity,State of biodiversity,1,mea,Fish abundance and biomass,,
fish catch potential,GBF,Ecosystem services,Nature contribution,1,mea,Maximum fish catch potential,,
fisheries exploitation rates,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,fisheries exploitation rates,,
fisheries stock size,IPBES,Ecosystem services,Nature contribution,1,assessment,fisheries stock size,,
"fixed broadband subscriptions per 100 inhabitants, by speed",SDG,Knowledge systems,Information on society and socio-economics,1,mea,"Fixed broadband subscriptions per 100 inhabitants, by speed",,
fleshy algae cover,GBF,biodiversity,State of biodiversity,1,mea,"Fleshy algae cover
",,
flood index (fi),IPCC,ecosystems,Abiotic conditions,1,assessment,Flood index (FI),,
floods,IPBES,Direct drivers,Natural drivers,1,assessment,floods,,
food deficit (kcal/capit a/day) (3- year average),IPBES,Human assets,Coverage of basic needs,1,assessment,Depth of the food deficit (kcal/capit a/day) (3- year average),,
food loss index,SDG;IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,2,both,Food loss index,,
food produced (kcal),IPBES,Human assets,Coverage of basic needs,1,assessment,Food produced (kcal),Human well-being,Healthy living conditions
food quality (nutrients),IPBES,Human assets,Coverage of basic needs,1,assessment,Food quality (nutrients),Human well-being,Healthy living conditions
food security index,IPBES;GEO,Human assets,Coverage of basic needs,2,assessment,food security; Food Security Index,,
food waste index,GBF;SDG;IPBES;GEO,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,4,both,Food waste index; food waste index; food waste,Human assets,Coverage of basic needs
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF;IPBES,Governance,Nature-based funding,2,both,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget; Foreign direct investment, official development assistance and South-South cooperation as a proportion of gross national income",,
forest and its role in protecting water sources,IPBES,Knowledge systems,ILK,1,assessment,Forest and its role in protecting water sources,,
forest and land management,GEO,ecosystems,Area conservation,1,assessment,forest and land management,,
forest area as a percentage of total land area,GBF;SDG;IPBES;GEO,ecosystems,State of ecosystems (coverage),4,both,Forest area as a proportion of total land area; Forest area as a percentage of total land area; forest area as a percentage of land area,,
forest distribution,GBF,ecosystems,State of ecosystems,1,mea,Forest distribution,,
forest fire danger index (ffdi),IPCC,Direct drivers,Natural drivers,1,assessment,Forest Fire Danger INDEX (FFDI); Forest fire danger Index (FFDI),,
forest fragmentation index,GBF,ecosystems,State of ecosystems,1,mea,"Forest Fragmentation Index
",,
forest landscape integrity index,GBF,ecosystems,State of ecosystems,1,mea,"Forest Landscape Integrity Index
; Forest Landscape Integrity Index",,
forest-specialist bird species per grid cell,IPBES,biodiversity,State of biodiversity,1,assessment,Forest-specialist bird species per grid cell; Forest-specialist bird species per grid cell (cSAR),,
forestry production and trade (wood fuel),GBF,ecosystems,State of ecosystems,1,mea,Forestry Production & Trade (Wood Fuel),,
forests and grazing lands loss,IPBES,Direct drivers,Land conversion,1,assessment,forests and grazing lands loss,ecosystems,Change in ecosystems
fossil co2 emissions,IPCC,Direct drivers,Climate change,1,assessment,fossil CO2 Emissions,,
fossil-fuel energy consumption (percentage of total),IPBES,Direct drivers,Climate change,1,assessment,Fossil fuel energy consumption (% of total),Human assets,Infrastructure (build-up area)
fraction of absorbed photosynthetically active radiation (fapar),IPCC,ecosystems,Abiotic conditions,1,assessment,fraction of absorbed photosynthetically active radiation (FAPAR); Fraction of Absorbed Photosynthetically Active Radiation (FAPAR),,
fraction of ocean not fished per year,IPBES,ecosystems,State of ecosystems,1,assessment,Fraction of ocean not fished per year,Direct drivers,Land conversion
fraction of precipitation falling as snow,IPCC,ecosystems,Abiotic conditions,1,assessment,the fraction of precipitation falling as snow,ecosystems,State of ecosystems
free flowing rivers,GBF,ecosystems,State of ecosystems (freshwater/coastal),1,mea,Free flowing rivers,,
free tropospheric ozone,IPCC,ecosystems,Abiotic conditions,1,assessment,Free tropospheric ozone,,
freshwater change over time,GEO,Ecosystem services,Nature contribution,1,assessment,freshwater change over time,,
freshwater withdrawal as a proportion of available freshwater resources,GEO,Ecosystem services,Nature contribution,1,assessment,freshwater withdrawal as a proportion of available freshwater resources,,
fuel aridity,IPCC,ecosystems,Abiotic conditions,1,assessment,Fuel aridity,,
full exceedance probability distribution of coastal erosion volume,IPCC,ecosystems,Change in ecosystems,1,assessment,full exceedance probability distribution of coastal erosion volume,,
functional diversity,IPBES,biodiversity,State of biodiversity,1,assessment,Functional diversity,,
functional intactness (madingley),IPBES,biodiversity,State of biodiversity,1,assessment,Functional intactness; Average functional intactness; Functional intactness (Madingley),,
functional richness (madingley),IPBES,biodiversity,State of biodiversity,1,assessment,Functional richness (Madingley),,
funding committed to environmental research,IPBES,Governance,Nature-based funding,1,assessment,Funding committed to environmental research ($),,
funding for environmental education,IPBES,Governance,Nature-based funding,1,assessment,Funding for environmental education,,
funding for environmental impact assessments,IPBES,Governance,Nature-based funding,1,assessment,Funding for Environmental Impact Assessments,,
funding provided by the global environment facility,IPBES,Governance,Nature-based funding,1,assessment,Funding provided by the Global Environment Facility ($),,
funding towards environmental education,IPBES,Governance,Nature-based funding,1,assessment,Funding towards environmental education ($),,
funding towards environmental impact assessment,IPBES,Governance,Nature-based funding,1,assessment,Funding towards Environmental Impact Assessment ($),,
funding towards institutional capacity building in fisheries,IPBES,Governance,Nature-based funding,1,assessment,Funding towards institutional capacity building in fisheries; Funding towards institutional capacity building in fisheries ($),,
funding towards nature reserves,IPBES,Governance,Nature-based funding,1,assessment,Funding towards nature reserves ($),,
funding towards species protection,IPBES,Governance,Nature-based funding,1,assessment,Funding towards species protection ($),,
further sub-indicators on additional/more specific threat types,CMS,biodiversity,Change in biodiversity,1,mea,Further sub-indicators on additional/more specific threat types,,
gender-disaggregated agricultural indices,GEO,Human well-being,Equity,1,assessment,gender-disaggregated agricultural Indices,,
gene bank accession and available genetic resources,IPBES,biodiversity,Genetic resources,1,assessment,Gene bank accession and available genetic resources,,
genesis potential index,IPCC,Direct drivers,Natural drivers,1,assessment,Genesis Potential INDEX,,
genetic diversity,IPBES,biodiversity,Genetic diversity,1,assessment,genetic diversity; Genetic diversity,,
genetic scorecard for wild species,GBF,biodiversity,Genetic resources,1,mea,Genetic scorecard for wild species,,
genuine progress indicator,IPBES,Human well-being,Healthy living conditions,1,assessment,Genuine Progress Indicator (GPI); genuine progress INDICATOR; genuine progress indicator (GPI); Genuine Progress INDICATOR (GPI); Genuine Progress INDICATOR; Genuine Progress indicator,,
geographical overlay of linguistic diversity and biodiversity,IPBES,Knowledge systems,Specific information on ILK and IPLC,1,assessment,Geographical Overlay of Linguistic Diversity and Biodiversity,Knowledge systems,Information on biodiversity
ghg changes,IPCC,Direct drivers,Climate change,1,assessment,GHG changes,,
ghg emissions,IPBES;GEO,Direct drivers,Pollution,2,assessment,GHG emissions; GHG emissions (in tonnes CO2 eq and tonnes per capita); GHG emissions change,,
ghg emissions from agriculture,GEO,Direct drivers,Pollution,1,assessment,GHG emissions from agriculture,,
ghs effective radiative forcing,IPCC,Direct drivers,Pollution,1,assessment,GHS effective radiative forcing,,
gini index,IPBES,Human well-being,Equity,1,assessment,Gini Index,,
glacier areal and mass changes/loss rate,IPCC,ecosystems,Change in ecosystems,1,assessment,Glacier areal and mass changes/loss rate,,
glacier mass and extent,IPCC,ecosystems,Change in ecosystems,1,assessment,Glacier mass and extent,,
glacier mass balance,IPBES;GEO,ecosystems,Change in ecosystems,2,assessment,Glacial mass balance; Glacier Mass balance; Glacial mass balance (mm water equivalent),,
glacier mass loss,IPCC,ecosystems,Change in ecosystems,1,assessment,glacier mass loss; Glaciar mass loss,,
global annual mean tropospheric ozone burden,IPCC,Direct drivers,Climate change,1,assessment,global annual mean tropospheric ozone burden,ecosystems,Abiotic conditions
global atmospheric co levels,GEO,ecosystems,Abiotic conditions,1,assessment,global atmospheric CO levels,,
global bird richness (csar),IPBES,biodiversity,State of biodiversity,1,assessment,Global bird richness (cSAR),,
global capacity,GEO,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,assessment,Global capacity,Knowledge systems,Specific information on human-nature relationship
global carbon budget,IPCC,Ecosystem services,Nature contribution,1,assessment,Global carbon budget,,
global climate risk index,IPBES,Direct drivers,Climate change,1,assessment,Global climate risk Index,,
global coral reef extent,GBF,biodiversity,State of biodiversity,1,mea,"Global coral reef extent 
",,
global cover of mangroves,IPBES,ecosystems,State of ecosystems (coverage),1,assessment,Global cover of mangroves,,
global dust deposition,IPCC,Direct drivers,Climate change,1,assessment,Global dust deposition,Direct drivers,Pollution
global ecosystem restoration index,GBF;IPBES,ecosystems,Area conservation,2,both,Global Ecosystem Restoration Index,,
global effort in bottom-trawling,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Global effort in bottom trawling; global effort in bottom trawling; Global effort in bottom-trawling; Global effort in bottom-trawling (kW sea-days),,
global energy budget,IPCC,Governance,Legislation/governance,1,assessment,global energy budget; Global Energy Budget,,
global environmental impacts of consumption,GBF,Direct drivers,Land conversion,1,mea,Global environmental impacts of consumption,,
global forest-specialist bird richness (csar),IPBES,biodiversity,State of biodiversity,1,assessment,Global forest-specialist bird richness (cSAR),,
"global funding committed towards environmental policy, laws, regulations and economic instruments",IPBES,Governance,Legislation/governance,1,assessment,"Global funding committed towards environmental policy, laws, regulations and economic instruments ($)",,
global funding for resourcing of biological invasions policy and management implementation,IPBES,Governance,Nature-based funding,1,assessment,Global funding for resourcing of biological invasions policy and management implementation,Direct drivers,Invasive alien species
global greening/browning,IPCC,Direct drivers,Climate change,1,assessment,global greening/browning,,
global human settlement layer (ghsl),GEO,Knowledge systems,Information on society and socio-economics,1,assessment,Global Human Settlement Layer (GHSL),,
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF,Knowledge systems,Information on society and socio-economics,1,mea,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,Human assets,State of economy
global index on indigenous peoples' well-being,IPBES,Knowledge systems,Specific information on ILK and IPLC,1,assessment,Global index on indigenous peoples' well-being,,
global land precipitation,IPCC,ecosystems,Abiotic conditions,1,assessment,global land precipitation,,
global linguistic diversity index and language threat level,IPBES,Knowledge systems,Specific information on ILK and IPLC,1,assessment,Global Index of Linguistic Diversity and language threat level,,
global mammal and bird species remaining,IPBES,biodiversity,State of biodiversity,1,assessment,Global mammal & bird species remaining,,
global mean ocean surface ph,IPCC,ecosystems,Abiotic conditions,1,assessment,global mean ocean surface pH,,
global mean sea level (gmsl),IPCC,ecosystems,State of ecosystems,1,assessment,global mean sea level (GMSL),,
global mean surface temperature (gmst),IPCC;GEO,ecosystems,Abiotic conditions,2,assessment,global surface air temperature (GMST); global mean surface temperature (GMST); observation-based estimate of global mean surface air temperature (GMST); Global mean surface temperature (GMST); global surface temperature; annual global mean surface temperature,,
global monsoons,IPCC,ecosystems,Abiotic conditions,1,assessment,global monsoons,,
global precipitation climatology centre (gpcc) v8,IPCC,ecosystems,Abiotic conditions,1,assessment,Global Precipitation Climatology Centre (GPCC) V8,,
global saltmarsh extent,GBF,ecosystems,State of ecosystems,1,mea,"Global saltmarsh extent
",,
global scale ecosystem carbon storage,IPBES,Ecosystem services,Nature contribution,1,assessment,Global sclae ecosystem carbon storage,,
global seagrass extent (seagrass cover and composition),GBF,biodiversity,State of biodiversity,1,mea,Global Seagrass Extent (Seagrass Cover and composition),,
global surface air temperature (gsat),IPCC,ecosystems,Abiotic conditions,1,assessment,global surface air temperature (GSAT),Direct drivers,Climate change
global temperature,IPCC,ecosystems,Abiotic conditions,1,assessment,global temperature,,
global temperature increase,GEO,Direct drivers,Climate change,1,assessment,global temperature increase,Direct drivers,Natural drivers
global temperature potential,GEO,ecosystems,Abiotic conditions,1,assessment,Global Temperature Potential,,
global temperatures,IPCC,ecosystems,Abiotic conditions,1,assessment,global temperatures,,
global vegetation cover,IPCC,ecosystems,State of ecosystems (coverage),1,assessment,Global vegetation cover,,
global vegetation health products,GBF,Ecosystem services,Nature contribution,1,mea,"Global Vegetation Health Products
",,
global warming potential index,GEO,Direct drivers,Climate change,1,assessment,Global Warming Potential Index,,
globalization index,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Globalization index,,
governance index,IPBES,Governance,Legislation/governance,1,assessment,Governance Index,,
grassland and savannah extent,GBF,ecosystems,State of ecosystems,1,mea,Grassland and savannah extent,,
green consumption,IPBES,Ecosystem services,Nature contribution,1,assessment,green consumption,Human well-being,Healthy living conditions
green gross domestic product,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,green gross domestic product,,
green status of species index,GBF,biodiversity,State of biodiversity,1,mea,Green Status of Species Index,,
green status of species index (pollinators),GBF,biodiversity,State of biodiversity,1,mea,Green status index (pollinators),Ecosystem services,Nature contribution
greenhouse gas emissions,IPBES;GEO,Direct drivers,Climate change,2,assessment,Greenhouse gas emissions; greenhouse gas emissions,Direct drivers,Pollution
greenhouse gas index (national oceanic and atmospheric administration),GEO,Direct drivers,Climate change,1,assessment,greenhouse gas INDEX (National Oceanic and Atmospheric Administration),,
greenland blocking index,IPCC,Direct drivers,Climate change,1,assessment,Greenland Blocking Index,,
greenland ice sheet fluctuations,IPCC,ecosystems,Change in ecosystems,1,assessment,Greenland Ice Sheet fluctuations,,
gross domestic product,IPBES,Human assets,State of economy,1,assessment,Gross domestic product (GDP); GDP per capita; GDP; Gross Domestic Product; Gross domestic product; gross domestic product; Gross domestic product per capita,,
gross ecosystem product,IPBES,Ecosystem services,Specific monetary valuation of nature contribution,1,assessment,gross ecosystem product,,
gross national happiness index,IPBES,Human well-being,Wellness,1,assessment,gross national happiness index; Gross Domestic Happiness INDEX; Gross National Happiness Index; gross national happiness INDEX; Gross National Happiness measure,,
gross national happiness index of bhutan,IPBES,Human well-being,Wellness,1,assessment,Gross National Happiness INDEX of Bhutan,,
gross national product,IPBES,Human assets,State of economy,1,assessment,Gross national product,,
ground subsidence,IPCC,ecosystems,Abiotic conditions,1,assessment,ground subsidence,,
grounding line retreat,IPCC,ecosystems,Change in ecosystems,1,assessment,Grounding line retreat,,
growing degree days,IPCC,ecosystems,Abiotic conditions,1,assessment,growing degree days,,
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC,ecosystems,Abiotic conditions,1,assessment,"Growing season length: annual (1 Jan to 31 Dec in Northern Hemisphere (NH), 1 July to 30 June in Southern Hemisphere (SH)) count between first span of at least six days with daily mean temperature TG >5°C and first span after July 1 (Jan 1 in SH) of six days with TG <5°C",,
growing season of terrestrial biota,IPCC,ecosystems,State of ecosystems,1,assessment,growing season of terrestrial biota,,
growth in human appropriation of net primary productivity,IPBES,Ecosystem services,Nature contribution,1,assessment,Growth in human appropriation of net primary production (HANPP),,
growth in information relevant to informing policy on invasive alien species prevention and control,IPBES,Direct drivers,Invasive alien species,1,assessment,growth in information relevant to informing policy on invasive alien species prevention and control; Growth in information relevant to informing policy on invasive alien species prevention and control,Knowledge systems,Information on biodiversity
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF,Knowledge systems,Information on biodiversity,1,mea,Growth in marine species occurrence records accessible through OBIS,,
growth in number of records and species in the living planet index database,GBF,Knowledge systems,Information on biodiversity,1,mea,Growth in number of records and species in the Living Planet Index database,,
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG;IPBES,Human assets,Income,2,both,Growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population; Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,,
habitat area and quality,IPBES,ecosystems,State of ecosystems,1,assessment,Habitat area and Quality,,
habitat conditions,IPBES,ecosystems,State of ecosystems,1,assessment,Habitat conditions,,
habitat distributional range,GBF,ecosystems,State of ecosystems,1,mea,Habitat distributional range,,
habitat loss,GEO,ecosystems,Change in ecosystems,1,assessment,habitat loss,,
habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF,ecosystems,Area conservation,1,mea,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),,
habitat quality,IPBES,Knowledge systems,ILK,1,assessment,habitat quality,ecosystems,State of ecosystems
hadley circulation cell,IPCC,ecosystems,Abiotic conditions,1,assessment,Hadley circulation cell,,
hadley/walker circulation,IPCC,ecosystems,Abiotic conditions,1,assessment,Hadley/Walker circulation,,
hallow coral reefs,IPBES,ecosystems,State of ecosystems,1,assessment,hallow coral reefs,,
happiness,IPBES,Human well-being,Wellness,1,assessment,happiness,,
happy planet index,IPBES,Human well-being,Wellness,1,assessment,Happy Planet INDEX; Happy Planet Index,,
hard coral cover and composition,GBF,biodiversity,State of biodiversity,1,mea,"Hard coral cover and composition 
",,
harvest intensity,IPBES,Knowledge systems,ILK,1,assessment,harvest intensity,Ecosystem services,Nature contribution
hazardous waste,GBF;SDG;IPBES,Direct drivers,Pollution,3,both,Hazardous waste generation; Hazardous waste generated per capita,,
health associated with intake of pollinator dependent foods,IPBES,Human well-being,Healthy living conditions,1,assessment,Health associated with intake of pollinator dependent foods,Direct drivers,Pollution
health condition and body size of wild animals decrease,IPBES,biodiversity,Change in biodiversity,1,assessment,health condition and body size of wild animals decrease,,
health of the forest,IPBES,ecosystems,State of ecosystems,1,assessment,health of the forest,,
health of the soil,IPBES,Knowledge systems,ILK,1,assessment,health of the soil,ecosystems,Abiotic conditions
health worker density and distribution,SDG,Human well-being,Healthy living conditions,1,mea,Health worker density and distribution,Human assets,Coverage of basic needs
heat index (hi),IPCC,ecosystems,Abiotic conditions,1,assessment,Heat Index (HI); Heat Index HI>41°C; Heat Index (hi),,
heat stress (humidity and temperature),IPCC,ecosystems,Abiotic conditions,1,assessment,heat stress (humidity and temperature),,
heat stress index,IPCC,Direct drivers,Climate change,1,assessment,Heat stress index,,
heating degree day index,IPCC,ecosystems,Abiotic conditions,1,assessment,Heating degree day Index,,
heating degree days below 15.5°c,IPCC,ecosystems,Abiotic conditions,1,assessment,Heating degree days below 15.5°C,,
"hepatitis b incidence per 100,000 population",SDG,Human assets,Coverage of basic needs,1,mea,"Hepatitis B incidence per 100,000 population",,
"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO,Human well-being,Healthy living conditions,1,assessment,"high blood pressure, smoking, low birth weight, high levels of blood sugar",,
high body mass index,GEO,biodiversity,State of biodiversity,1,assessment,high body mass INDEX,,
highest five day precipitation amount (rx5day),IPCC,ecosystems,Abiotic conditions,1,assessment,Highest five day precipitation amount (Rx5day),,
highest one day precipitation amount (rx1day),IPCC,ecosystems,Abiotic conditions,1,assessment,Highest one day precipitation amount (rx1day),,
historic land use change since 1970,IPBES,Direct drivers,Land conversion,1,assessment,Historic land use change since 1970,,
holistic health model,IPBES,Human well-being,Wellness,1,assessment,holistic health model,,
human appropriation of fresh water,IPBES,Ecosystem services,Nature contribution,1,assessment,Human appropriation of fresh water; Human appropriation of fresh water (water footprint) (thousand km3)†,,
human appropriation of net primary productivity,GBF;IPBES,Ecosystem services,Nature contribution,2,both,Human Appropriation of Net Primary Production (HANPP); Human appropriation of net primary productivity; human appropriation of net primary production; Human appropriation of net primary productivity (Pg C),,
human development index (hdi),IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,human development INDEX; Human development index (HDI); Human development index; human development index; Human Development Index; Human Development INDEX (HDI); Human Development INDEX,Human well-being,Wellness
human footprint,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Human Footprint,,
human population density,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Human population density,,
human population size,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Human population size,,
humidity,IPCC,ecosystems,Abiotic conditions,1,assessment,humidity,,
hunting success,IPBES,Knowledge systems,ILK,1,assessment,hunting success,Ecosystem services,Nature contribution
hydrological deficits,IPCC,ecosystems,Abiotic conditions,1,assessment,hydrological deficits,,
ice core measurements,IPCC,ecosystems,State of ecosystems,1,assessment,Ice Core Measurements,Direct drivers,Climate change
ice core records,IPCC,ecosystems,State of ecosystems,1,assessment,ice core records,,
ice cores,IPCC,ecosystems,State of ecosystems,1,assessment,Ice cores,Direct drivers,Climate change
ideas and products mimicking or inspired by nature,IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,Ideas and products mimicking or inspired by nature,,
identity value - rural and iplc,IPBES,Human well-being,Wellness,1,assessment,Identity value - rural and IPLC,,
identity value - urban,IPBES,Human well-being,Wellness,1,assessment,Identity value – urban,,
illegal trade by cites species classification,GBF,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,mea,Illegal trade by CITES species classification,,
impact of agricultural habitat conversion on birds,IPBES,Direct drivers,Land conversion,1,assessment,impact of agricultural habitat conversion on birds,,
"impact of alien species on sensitive places, species and functions",IPBES,Direct drivers,Invasive alien species,1,assessment,"Impact of alien species on sensitive places, species and functions",,
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO,ecosystems,State of ecosystems,1,assessment,impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,,
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF,Governance,Nature-based legislation,1,mea,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,,
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG;IPBES,Governance,Legislation/governance,2,both,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,,
importance of forests to people,IPBES,Human well-being,Healthy living conditions,1,assessment,importance of forests to people,Knowledge systems,Specific information on human-nature relationship
improved health from natural medicines or bio-derived medicines,IPBES,Human well-being,Healthy living conditions,1,assessment,Improved health from natural medicines or bio-derived medicines,,
improved water supply and sanitation,GEO,Human well-being,Healthy living conditions,1,assessment,improved water supply and sanitation,,
improved/unimproved sources of drinking water,GEO,Human well-being,Healthy living conditions,1,assessment,improved/unimproved sources of drinking water,,
improvement in conseration status of species threatened by invasive alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,Improvement in conseration status of species threatened by invasive alien species,biodiversity,Change in biodiversity
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,GEO,Human well-being,Healthy living conditions,1,assessment,including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,,
inclusion of historically disadvantaged stakeholders,IPBES,Human well-being,Equity,1,assessment,inclusion of historically disadvantaged stakeholders,,
inclusive and equitable quality education,GEO,Human assets,Coverage of basic needs,1,assessment,Inclusive and equitable quality education,Human well-being,Equity
inclusive societies,GEO,Human well-being,Equity,1,assessment,inclusive societies,,
inclusive wealth,IPBES,Human assets,Income,1,assessment,inclusive wealth; Inclusive Wealth,,
income,IPBES,Human assets,Income,1,assessment,income,,
increase in global tc maximum surface wind speeds,IPCC,ecosystems,Abiotic conditions,1,assessment,increase in global TC maximum surface wind speeds,,
increase in secondary natural forest cover,GBF,ecosystems,Change in ecosystems,1,mea,Increase in secondary natural forest cover,,
increase in the global mean sea level,GEO,ecosystems,Change in ecosystems,1,assessment,increase in the global mean sea level,,
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",IPBES,Human well-being,Healthy living conditions,1,assessment,"Increased awareness, care, mental health, cultural security, life satisfaction - rural and IPLC",Human well-being,Wellness
"increased awareness, care, mental health, cultural security, life satisfaction - urban",IPBES,Human well-being,Healthy living conditions,1,assessment,"Increased awareness, care, mental health, cultural security, life satisfaction - urban",Human well-being,Wellness
increasingly unpredictable annual distribution of rainfall,IPBES,Direct drivers,Natural drivers,1,assessment,increasingly unpredictable annual distribution of rainfall,,
