indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
drought severity index,IPCC_12_57_666_401,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
drought-resistant vegetation,GEO_17_8_200_165,GEO,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
droughts,IPBES_GA_2.2_6_56_140,IPBES,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
early nimbus satellite visible and infrared imagery,IPCC_2_58_91_96,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
ecolabel index,IPBES_SUA_2_93_72_16,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
ecological footprint,GBF_T16_C_61;GBF_GB_CY_56;IPBES_GA_1_52_19_6;IPBES_GA_5_73_254_392;IPBES_GA_3_15_329_415;IPBES_GA_3_26_355_434;IPBES_VA_2_38_29_29;GEO_13_14_129_115;GEO_13_19_142_120;IPBES_GA3_sup_10,GBF,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,TRUE,FALSE
ecological footprint,GBF_T16_C_61;GBF_GB_CY_56;IPBES_GA_1_52_19_6;IPBES_GA_5_73_254_392;IPBES_GA_3_15_329_415;IPBES_GA_3_26_355_434;IPBES_VA_2_38_29_29;GEO_13_14_129_115;GEO_13_19_142_120;IPBES_GA3_sup_10,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,FALSE,TRUE
ecological footprint,GBF_T16_C_61;GBF_GB_CY_56;IPBES_GA_1_52_19_6;IPBES_GA_5_73_254_392;IPBES_GA_3_15_329_415;IPBES_GA_3_26_355_434;IPBES_VA_2_38_29_29;GEO_13_14_129_115;GEO_13_19_142_120;IPBES_GA3_sup_10,GEO,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,FALSE,TRUE
economic damages due to river floods,IPCC_1_62_25_24,IPCC,Human assets,Direct drivers,Infrastructure (build-up area),Natural drivers,0,FALSE,TRUE
economic growth,GEO_3_5_16_24,GEO,Human assets,NA,State of economy,NA,0,FALSE,TRUE
economic inequality,IPCC_1_62_25_26,IPCC,Human well-being,NA,Equity,NA,0,FALSE,TRUE
economic value of bio-inspired production,IPBES_GA_2.3_42_143_341,IPBES,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,0,FALSE,TRUE
ecosystem intactness index,GBF_GA_C_1;GBF_GA_CY_29,GBF,ecosystems,NA,State of ecosystems (integrity),NA,1,TRUE,FALSE
ecosystem integrity index,GBF_GA_C_2;GBF_T1_CY_114,GBF,ecosystems,NA,State of ecosystems (integrity),NA,1,TRUE,FALSE
effectiveness of wetland invasive alien species control programmes,RAMSAR_SG1.4_13,RAMSAR,Governance,biodiversity,Nature-based legislation,Species conservation,1,TRUE,FALSE
eflow index,GBF_GB_CY_68,GBF,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,TRUE,FALSE
el niño-southern oscillation (enso) index,IPCC_2_76_122_120;IPCC_4_8_220_174;IPCC_4_27_234_181;IPCC_5_36_278_197,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241_185,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
electric power consumption (kwh per capita),IPBES_GA2.1_sup_14,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
emission of particular compounds,IPCC_7_90_359_226,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
emissions of ozone-depleting substances,GEO_12_15_115_102;GEO_12_17_120_109,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
employment in materials production,IPBES_GA_2.3_42_143_331,IPBES,Human assets,Ecosystem services,Income,Nature contribution,0,FALSE,TRUE
encounter rates with supernatural forest dwelling entities,IPBES_GA_2.3_41_142_283,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
endemic species richness,IPBES_VA_2_10_12_6,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
endemism richness,IPBES_GA_2.2_21_61_148,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
energy consumption,GEO_17_14_210_183,GEO,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
energy content of bioenergy crops,IPBES_GA_2.3_42_143_319,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
energy intensity measured in terms of primary energy and gross domestic product,SDG_G7.3.1_97;IPBES_SUA_sup_7.3.1_41,SDG,Human assets,NA,Infrastructure (build-up area),NA,1,TRUE,FALSE
energy intensity measured in terms of primary energy and gross domestic product,SDG_G7.3.1_97;IPBES_SUA_sup_7.3.1_41,IPBES,Human assets,NA,Infrastructure (build-up area),NA,1,FALSE,TRUE
energy production,GEO_17_14_210_182,GEO,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
energy security from bio-energy and fuelwood,IPBES_GA_2.3_42_143_323,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
"energy supply derived from cereals, roots and tubers",IPBES_GA2.1_sup_18,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
energy use (kg of oil equivalent per capita),IPBES_GA2.1_sup_10,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
energy-intensity,GEO_22_12_256_228,GEO,Human assets,NA,State of economy,NA,0,FALSE,TRUE
enhanced vegetation index,GEO_6_18_58_79,GEO,ecosystems,NA,State of ecosystems (integrity),NA,0,FALSE,TRUE
environmental awareness,IPBES_VA_2_10_12_8,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
environmental change,IPBES_SUA_2_97_80_38,IPBES,Knowledge systems,ecosystems,ILK,Change in ecosystems,0,FALSE,TRUE
environmental component of the social sustainability index,IPBES_GA_2_25_34_106,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
environmental performance index,IPBES_GA_2_25_34_105;IPBES_GA_5_104_261_395;IPBES_GA_5_107_262_396,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
environmentally friendly policy processes,GEO_3_5_16_26,GEO,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
equilibrium climate sensitivity ecs,IPCC_7_9_323_213,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
essential climate variables (ecvs),IPCC_1_64_26_27,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
essential ocean variables (eovs),IPCC_1_64_26_28,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
estimate of gsat (era-5),IPCC_1_45_19_15,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
estimated fisheries catch and fishing effort,IPBES_GA_1_52_19_16,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,GBF_T13_CY_210,GBF,Governance,Ecosystem services,Nature-based legislation,Specific monetary valuation of nature contribution,1,TRUE,FALSE
ethnographic accounts,IPBES_VA_2_38_28_19,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
evaporative demand drought index (eddi),IPCC_11_58_543_297,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
evapotranspiration,IPBES_GA_2.2_37_70_181;IPBES_GA2.2_sup_30,IPBES,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the cites secretariat",CITES_G4.4.2_44,CITES,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
evolutionarily distinct and globally endangered (edge),GBF_GA_C_7,GBF,biodiversity,NA,Genetic diversity,Species conservation,1,TRUE,FALSE
evolutionary diversity,IPBES_IAS_3_84_95_25,IPBES,biodiversity,NA,Genetic diversity,NA,0,FALSE,TRUE
excess of atmospheric evaporative demand (aed),IPCC_11_58_544_307,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IPBES_IAS_6_14_142_51,IPBES,Direct drivers,Governance,Invasive alien species,Nature-based legislation,0,FALSE,TRUE
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SDG_G8.b.1_116;IPBES_SUA_sup_8.b.1_58,SDG,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SDG_G8.b.1_116;IPBES_SUA_sup_8.b.1_58,IPBES,Governance,NA,Legislation/governance,NA,1,FALSE,TRUE
existence of independent national human rights institutions in compliance with the paris principles,SDG_G16.a.1_234,SDG,Human well-being,NA,Equity,NA,1,TRUE,FALSE
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,IPCC_2_74_117_115,IPCC,ecosystems,NA,State of ecosystems (marine),NA,0,FALSE,TRUE
expansion of settlements,IPBES_GA_2.2_6_56_138,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
exposure to ambient pm,GEO_5_19_45_57,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
exposure to high concentrations of pollutants,GEO_5_19_45_61,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),GEO_12_16_117_104,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
extent of agricultural land,IPBES_GA_2.3_42_143_318,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
extent of ecosystems that filter or add constituent components to water,IPBES_GA_2.3_42_143_286,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
extent of forests,IPBES_GA_2.2_1_50_126;IPBES_GA_2.2_37_70_163;IPBES_GA_2.2_40_78_213;IPBES_GA_2.3_42_143_321;IPBES_GA2.2_sup_6,IPBES,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
extent of ice cover,GEO_2_26_7_15,GEO,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
extent of indigenous peoples and local communities lands that have some form of recognition,GBF_T3_CY_142,GBF,Knowledge systems,Human well-being,Specific information on ILK and IPLC,Equity,1,TRUE,FALSE
extent of intact forest landscapes,IPBES_GA_2.2_37_70_170;IPBES_GA2.2_sup_7,IPBES,ecosystems,NA,State of ecosystems (integrity),NA,0,FALSE,TRUE
extent of marine calcification benefits from coral reefs,IPBES_GA_2.3_42_143_307,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
extent of marine wilderness,IPBES_GA_2.2_37_70_152;IPBES_GA2.2_sup_8,IPBES,ecosystems,NA,State of ecosystems (marine),NA,0,FALSE,TRUE
extent of natural ecosystems,GBF_GA_H_2;GBF_T1_H_14;GBF_T2_C_15;GBF_T1_CY_112,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_GA_CY_32,GBF,Direct drivers,NA,Land conversion,NA,1,TRUE,FALSE
extent of protected and intact habitat globally,IPBES_GA_2.3_59_157_358,IPBES,ecosystems,NA,State of ecosystems (integrity),NA,0,FALSE,TRUE
extent of suitable habitat,IPBES_GA_2.2_37_70_162;IPBES_GA_2.2_37_70_199;IPBES_GA_2.3_42_143_290;IPBES_GA_3_15_329_421;IPBES_GA2.2_sup_16;IPBES_GA3_sup_17,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
extent of suitable habitat (mammals),IPBES_GA2.2_sup_65,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
extent of suitable habitat index (esh),IPBES_GA_5_34_243_386,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,0,FALSE,TRUE
extent of terrestrial wilderness,IPBES_GA_2.2_37_70_169;IPBES_GA2.2_sup_9,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG_G17.15.1_252;IPBES_SUA_sup_17.15.1_151,SDG,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG_G17.15.1_252;IPBES_SUA_sup_17.15.1_151,IPBES,Governance,NA,Legislation/governance,NA,1,FALSE,TRUE
extent of which essential policy and management approaches have been adopted,IPBES_IAS_6_56_150_67,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67;GBF_T16_CY_216;SDG_G4.7.1_64;SDG_G12.8.1_171;SDG_G13.3.1_180;IPBES_VA_6_52_152_80;IPBES_SUA_sup_12.8.1_98;IPBES_SUA_sup_13.3.1_107,GBF,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67;GBF_T16_CY_216;SDG_G4.7.1_64;SDG_G12.8.1_171;SDG_G13.3.1_180;IPBES_VA_6_52_152_80;IPBES_SUA_sup_12.8.1_98;IPBES_SUA_sup_13.3.1_107,SDG,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67;GBF_T16_CY_216;SDG_G4.7.1_64;SDG_G12.8.1_171;SDG_G13.3.1_180;IPBES_VA_6_52_152_80;IPBES_SUA_sup_12.8.1_98;IPBES_SUA_sup_13.3.1_107,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,1,FALSE,TRUE
extent to which protected areas and other effective area-based conservation measures cover key biodiversity areas that are important for migratory species,GBF_T3_CY_138,GBF,ecosystems,biodiversity,State of ecosystems,State of biodiversity,1,TRUE,FALSE
extinction risk,IPBES_GA_2.2_1_50_128,IPBES,biodiversity,biodiversity,Change in biodiversity,Species conservation,0,FALSE,TRUE
extinction risk of wild relatives of domesticated or farmed birds and mammals,IPBES_GA_3_44_371_448,IPBES,Ecosystem services,biodiversity,Nature contribution,Change in biodiversity,0,FALSE,TRUE
extraction all of biomass,IPBES_GA2.1_sup_48,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction biomass animals,IPBES_GA2.1_sup_53,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction biomass feed,IPBES_GA2.1_sup_52,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction biomass food,IPBES_GA2.1_sup_50,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction biomass forestry,IPBES_GA2.1_sup_51,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction fossil-fuel,IPBES_GA2.1_sup_55,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction of industrial and constrution minerals,IPBES_GA2.1_sup_49,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
extraction of living biomass,IPBES_GA_2_83_42_110,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
extraction of non-human materials,IPBES_GA_2_118_47_121,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
extraction of non-living materials,IPBES_GA_2_83_42_111,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
extraction ores,IPBES_GA2.1_sup_47,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extraction other biomass,IPBES_GA2.1_sup_54,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
extreme canopy temperatures,IPCC_12_15_596_333,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
extreme low runoff,IPCC_12_17_601_355,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
extreme temperatures,IPCC_11_24_511_278,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
farmland bird index,IPBES_SUA_4_51_116_47,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SDG_G8.8.1_109;IPBES_SUA_sup_8.8.1_53,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SDG_G8.8.1_109;IPBES_SUA_sup_8.8.1_53,IPBES,Human assets,NA,Coverage of basic needs,NA,1,FALSE,TRUE
fertility rates,GEO_22_21_257_236,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
fertilizer price,GEO_8_26_75_92,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
fertilizer use,GBF_T7_C_36;IPBES_GA_2_83_42_108,GBF,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
fertilizer use,GBF_T7_C_36;IPBES_GA_2_83_42_108,IPBES,Direct drivers,NA,Pollution,NA,1,FALSE,TRUE
fertilizers used,IPBES_GA2.1_sup_43,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
fewer lives lost,IPBES_VA_2_76_48_39,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
finance mobilized for capacity-building,GBF_GD_CY_95,GBF,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_GD_CY_97,GBF,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",GBF_GD_CY_96,GBF,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
financial soundness indicators,SDG_G10.5.1_134,SDG,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
fire disturbances/burned areas,IPCC_1_66_27_31,IPCC,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
fire risk,IPCC_12_85_722_416,IPCC,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
fire weather index (fwi),IPCC_12_66_682_406;IPCC_12_79_710_415,IPCC,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
first and last days of snow cover,IPCC_12_19_604_362,IPCC,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,0,FALSE,TRUE
fish abundance and biomass,GBF_GA_CY_41,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
fish catch potential,GBF_GB_CY_75,GBF,Ecosystem services,NA,Nature contribution,NA,1,TRUE,FALSE
fisheries exploitation rates,IPBES_GA_3_164_441_502,IPBES,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,0,FALSE,TRUE
fisheries stock size,IPBES_GA_3_164_441_501,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
"fixed broadband subscriptions per 100 inhabitants, by speed",SDG_G17.6.1_243,SDG,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
fleshy algae cover,GBF_GA_CY_19,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
flood index (fi),IPCC_sup_47,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
floods,IPBES_GA_2.2_6_56_144,IPBES,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
food deficit (kcal/capit a/day) (3- year average),IPBES_GA2.1_sup_5,IPBES,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
food loss index,SDG_G12.3.1.a_163;IPBES_SUA_sup_12.3.1.a_91,SDG,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,TRUE,FALSE
food loss index,SDG_G12.3.1.a_163;IPBES_SUA_sup_12.3.1.a_91,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,FALSE,TRUE
food produced (kcal),IPBES_GA_2.3_42_143_324,IPBES,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,0,FALSE,TRUE
food quality (nutrients),IPBES_GA_2.3_42_143_325,IPBES,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,0,FALSE,TRUE
food security index,GEO_3_12_24_34;IPBES_GA2.1_sup_4,IPBES,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
food security index,GEO_3_12_24_34;IPBES_GA2.1_sup_4,GEO,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
food waste index,GBF_T16_C_58;SDG_G12.3.1.b_164;GEO_23_24_262_242;IPBES_SUA_sup_12.3.1.b_92,GBF,Direct drivers,Human assets,Specific mention of over-exploitation and unsustainable use of species/ecosystems,Coverage of basic needs,1,TRUE,FALSE
food waste index,GBF_T16_C_58;SDG_G12.3.1.b_164;GEO_23_24_262_242;IPBES_SUA_sup_12.3.1.b_92,SDG,Direct drivers,Human assets,Specific mention of over-exploitation and unsustainable use of species/ecosystems,Coverage of basic needs,1,TRUE,FALSE
food waste index,GBF_T16_C_58;SDG_G12.3.1.b_164;GEO_23_24_262_242;IPBES_SUA_sup_12.3.1.b_92,IPBES,Direct drivers,Human assets,Specific mention of over-exploitation and unsustainable use of species/ecosystems,Coverage of basic needs,1,FALSE,TRUE
food waste index,GBF_T16_C_58;SDG_G12.3.1.b_164;GEO_23_24_262_242;IPBES_SUA_sup_12.3.1.b_92,GEO,Direct drivers,Human assets,Specific mention of over-exploitation and unsustainable use of species/ecosystems,Coverage of basic needs,1,FALSE,TRUE
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_T19_CY_238;IPBES_SUA_sup_17.3.1_141,GBF,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_T19_CY_238;IPBES_SUA_sup_17.3.1_141,IPBES,Governance,NA,Nature-based funding,NA,1,FALSE,TRUE
forest and its role in protecting water sources,IPBES_GA_2.3_22_127_256,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
forest and land management,GEO_23_24_262_245,GEO,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
forest area as a percentage of total land area,GBF_GA_CY_1;SDG_G15.1.1_194;IPBES_GA_1_52_19_14;GEO_15_19_170_143;IPBES_SUA_sup_15.1.1_121,GBF,ecosystems,NA,State of ecosystems (coverage),NA,1,TRUE,FALSE
forest area as a percentage of total land area,GBF_GA_CY_1;SDG_G15.1.1_194;IPBES_GA_1_52_19_14;GEO_15_19_170_143;IPBES_SUA_sup_15.1.1_121,SDG,ecosystems,NA,State of ecosystems (coverage),NA,1,TRUE,FALSE
forest area as a percentage of total land area,GBF_GA_CY_1;SDG_G15.1.1_194;IPBES_GA_1_52_19_14;GEO_15_19_170_143;IPBES_SUA_sup_15.1.1_121,IPBES,ecosystems,NA,State of ecosystems (coverage),NA,1,FALSE,TRUE
forest area as a percentage of total land area,GBF_GA_CY_1;SDG_G15.1.1_194;IPBES_GA_1_52_19_14;GEO_15_19_170_143;IPBES_SUA_sup_15.1.1_121,GEO,ecosystems,NA,State of ecosystems (coverage),NA,1,FALSE,TRUE
forest distribution,GBF_GA_CY_2,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
forest fire danger index (ffdi),IPCC_12_43_642_386;IPCC_12_43_643_388,IPCC,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
forest fragmentation index,GBF_GA_CY_22,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
forest landscape integrity index,GBF_GA_CY_23;GBF_T2_CY_119,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
forest-specialist bird species per grid cell,IPBES_GA_2.2_37_70_192;IPBES_GA2.2_sup_51,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
forestry production and trade (wood fuel),GBF_GB_CY_78,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
forests and grazing lands loss,IPBES_GA_2.2_5_55_134,IPBES,Direct drivers,ecosystems,Land conversion,Change in ecosystems,0,FALSE,TRUE
fossil co2 emissions,IPCC_4_79_266_191,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
fossil-fuel energy consumption (percentage of total),IPBES_GA2.1_sup_12,IPBES,Direct drivers,Human assets,Climate change,Infrastructure (build-up area),0,FALSE,TRUE
fraction of absorbed photosynthetically active radiation (fapar),IPCC_1_66_27_30;IPCC_2_79_128_125,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
fraction of ocean not fished per year,IPBES_GA_2.2_37_70_151;IPBES_GA2.2_sup_10,IPBES,ecosystems,Direct drivers,State of ecosystems,Land conversion,0,FALSE,TRUE
fraction of precipitation falling as snow,IPCC_12_19_604_361,IPCC,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,0,FALSE,TRUE
free flowing rivers,GBF_GA_CY_54;GBF_T2_CY_121,GBF,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,TRUE,FALSE
free tropospheric ozone,IPCC_2_21_42_44,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
freshwater change over time,GEO_16_19_194_160,GEO,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
freshwater withdrawal as a proportion of available freshwater resources,GEO_16_14_181_150;GEO_20_8_234_204,GEO,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
fuel aridity,IPCC_12_18_602_357,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606_369,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
functional diversity,IPBES_IAS_5_109_131_39,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
functional intactness (madingley),IPBES_GA_2.2_37_70_193;IPBES_GA_2.2_47_90_223;IPBES_GA2.2_sup_52,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
functional richness (madingley),IPBES_GA2.2_sup_78,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
funding committed to environmental research,IPBES_GA3_sup_65,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding for environmental education,IPBES_GA_3_15_329_408,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding for environmental impact assessments,IPBES_GA_3_15_329_410,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding provided by the global environment facility,IPBES_GA3_sup_66,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding towards environmental education,IPBES_GA3_sup_3,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
funding towards environmental impact assessment,IPBES_GA3_sup_5,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
