indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
agrobiodiversity index,GBF_T10_CY_193,GBF,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,1,TRUE,FALSE
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,IPBES,Governance,NA,Nature-based funding,NA,1,FALSE,TRUE
air departures,IPBES_GA2.1_sup_39,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
air emission accounts,GBF_T11_CY_199,GBF,Direct drivers,NA,Climate change,NA,1,TRUE,FALSE
air moisture,IPCC_2_52_82_89,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
air passengers,IPBES_GA2.1_sup_38,IPBES,Direct drivers,Direct drivers,Pollution,Invasive alien species,0,FALSE,TRUE
air pollution,IPBES_GA_2_83_42_113;IPBES_GA2.1_sup_44,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
air pollution emissions account,GBF_GB_CY_62,GBF,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
air pollution exposure,GEO_5_19_45_55,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
air quality,IPBES_GA_3_123_420_495;GEO_20_6_228_197,IPBES,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
air quality,IPBES_GA_3_123_420_495;GEO_20_6_228_197,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
air quality index,GBF_GB_CY_61;GEO_12_12_111_99,GBF,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions,1,TRUE,FALSE
air quality index,GBF_GB_CY_61;GEO_12_12_111_99,GEO,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions,1,FALSE,TRUE
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_G3.5.2_40,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
alcohol use,GEO_21_17_251_224,GEO,Human well-being,Human well-being,Healthy living conditions,Recreation,0,FALSE,TRUE
alien species,IPBES_GA_2_118_47_123,IPBES,Direct drivers,NA,Invasive alien species,NA,0,FALSE,TRUE
alien species occurrence,IPBES_IAS_6_114_165_76,IPBES,Direct drivers,NA,Invasive alien species,NA,0,FALSE,TRUE
alien species richness,IPBES_GA_2_83_42_114;IPBES_IAS_3_8_84_23,IPBES,Direct drivers,biodiversity,Invasive alien species,State of biodiversity,0,FALSE,TRUE
altering of the carbon and biogeochemical cycles,GEO_2_26_7_14,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems,0,FALSE,TRUE
amend policies that lead to destruction of mangroves,GEO_17_8_200_168,GEO,Governance,NA,Nature detrimental legislation,NA,0,FALSE,TRUE
amoc,IPCC_1_70_30_38,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_T19_CY_239,GBF,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG,Human assets,NA,Infrastructure (build-up area),NA,1,TRUE,FALSE
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,IPBES,Human assets,NA,Infrastructure (build-up area),NA,1,FALSE,TRUE
amount of biodiversity-related philanthropic funding,GBF_T19_CY_242,GBF,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF,Governance,NA,Nature detrimental legislation,NA,1,TRUE,FALSE
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,SDG,Governance,NA,Nature detrimental legislation,NA,1,TRUE,FALSE
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,IPBES,Governance,NA,Nature detrimental legislation,NA,1,FALSE,TRUE
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_T19_CY_237,GBF,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,IPBES,Human assets,NA,Coverage of basic needs,NA,1,FALSE,TRUE
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG,Human assets,NA,State of economy,NA,1,TRUE,FALSE
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,IPBES,Human assets,NA,State of economy,NA,1,FALSE,TRUE
animal behavior,IPBES_GA_2.3_40_140_276,IPBES,Knowledge systems,biodiversity,ILK,State of biodiversity,0,FALSE,TRUE
annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG,Human assets,NA,Income,NA,1,TRUE,FALSE
annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,IPBES,Human assets,NA,Income,NA,1,FALSE,TRUE
annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG,Human assets,NA,Income,NA,1,TRUE,FALSE
annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,IPBES,Human assets,NA,Income,NA,1,FALSE,TRUE
annual gsat change,IPCC_1_50_21_19,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
annual ice volume,IPCC_1_50_21_20,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,TRUE,FALSE
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,SDG,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,TRUE,FALSE
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,IPBES,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,FALSE,TRUE
annual mean wind speed,IPCC_sup_50,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541_292,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
annual rate of net forest loss,IPBES_GA_3_27_356_438;IPBES_GA_3_27_356_439,IPBES,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
annual tropical primary tree cover loss,GBF_T2_CY_118,GBF,ecosystems,NA,Change in ecosystems,NA,1,TRUE,FALSE
annular mode index,IPCC_4_51_251_189,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
