error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,forests and grazing lands loss,GA_2.2_5_55,IPBES,0,Direct drivers,Land conversion,ecosystems,Change in ecosystems
,fossil co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,Climate change,NA,NA
,fossil-fuel energy consumption (percentage of total),IPBES_GA2.1_sup_12,IPBES,0,Direct drivers,Climate change,Human assets,Infrastructure (build-up area)
,fraction of absorbed photosynthetically active radiation (fapar),IPCC_1_66_27;IPCC_2_79_128,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,fraction of ocean not fished per year,GA_2.2_37_70;IPBES_GA2.2_sup_10,IPBES,0,ecosystems,State of ecosystems,Direct drivers,Land conversion
,fraction of precipitation falling as snow,IPCC_12_19_604,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems
remove,fraction of species known to be medicinal,GA_2.3_42_143,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA
,free flowing rivers,GBF_GA_CY_54;GBF_T2_CY_121,GBF,1,ecosystems,State of ecosystems (freshwater/coastal),NA,NA
,free tropospheric ozone,IPCC_2_21_42,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,freshwater change over time,GEO_16_19_194,GEO,0,Ecosystem services,Nature contribution,NA,NA
,freshwater withdrawal as a proportion of available freshwater resources,GEO_16_14_181;GEO_20_8_234,GEO,0,Ecosystem services,Nature contribution,NA,NA
,fuel aridity,IPCC_12_18_602,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,functional diversity,IAS_5_109_131,IPBES,0,biodiversity,State of biodiversity,NA,NA
,functional intactness (madingley),GA_2.2_37_70;GA_2.2_47_90;IPBES_GA2.2_sup_52,IPBES,0,biodiversity,State of biodiversity,NA,NA
,functional richness (madingley),IPBES_GA2.2_sup_78,IPBES,0,biodiversity,State of biodiversity,NA,NA
,funding committed to environmental research,IPBES_GA3_sup_65,IPBES,0,Governance,Nature-based funding,NA,NA
,funding for environmental education,GA_3_15_329,IPBES,0,Governance,Nature-based funding,NA,NA
,funding for environmental impact assessments,GA_3_15_329,IPBES,0,Governance,Nature-based funding,NA,NA
,funding provided by the global environment facility,IPBES_GA3_sup_66,IPBES,0,Governance,Nature-based funding,NA,NA
,funding towards environmental education,IPBES_GA3_sup_3,IPBES,0,Governance,Nature-based funding,NA,NA
,funding towards environmental impact assessment,IPBES_GA3_sup_5,IPBES,0,Governance,Nature-based funding,NA,NA
,funding towards institutional capacity building in fisheries,GA_3_15_329;IPBES_GA3_sup_8,IPBES,0,Governance,Nature-based funding,NA,NA
,funding towards nature reserves,IPBES_GA3_sup_48,IPBES,0,Governance,Nature-based funding,NA,NA
,funding towards species protection,IPBES_GA3_sup_51,IPBES,0,Governance,Nature-based funding,NA,NA
,further sub-indicators on additional/more specific threat types,CMS_G2.7_11,CMS,1,biodiversity,Change in biodiversity,NA,NA
remove,gender equality,GEO_17_8_199,GEO,0,Human well-being,Equity,NA,NA
,gender-disaggregated agricultural indices,GEO_3_10_20,GEO,0,Human well-being,Equity,NA,NA
,gene bank accession and available genetic resources,GA_2.3_42_143,IPBES,0,biodiversity,Genetic resources,NA,NA
,genesis potential index,IPCC_11_78_568,IPCC,0,Direct drivers,Natural drivers,NA,NA
,genetic diversity,VA_2_10_12;VA_2_38_28,IPBES,0,biodiversity,Genetic diversity,NA,NA
,genetic scorecard for wild species,GBF_GA_CY_42,GBF,1,biodiversity,Genetic resources,NA,NA
,genuine progress indicator,GA_6_139_289;VA_2_8_10;VA_2_38_29;VA_5_78_136;VA_6_21_143;IAS_6_85_153,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,geographical overlay of linguistic diversity and biodiversity,GA_2.3_39_137,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,Knowledge systems,Information on biodiversity
,ghg changes,IPCC_3_17_173,IPCC,0,Direct drivers,Climate change,NA,NA
,ghg emissions,GEO_5_17_41;GEO_12_18_122;IPBES_GA2.1_sup_41;IPBES_GA2.1_sup_46,IPBES;GEO,0,Direct drivers,Pollution,NA,NA
,ghg emissions from agriculture,GEO_17_9_201,GEO,0,Direct drivers,Pollution,NA,NA
,ghs effective radiative forcing,IPCC_7_44_330,IPCC,0,Direct drivers,Pollution,NA,NA
,gini index,GA_5_80_256,IPBES,0,Human well-being,Equity,NA,NA
remove,glacial mass balance,GA_3_51_381;IPBES_GA3_sup_37,IPBES,0,ecosystems,Change in ecosystems,NA,NA
remove,glaciar mass loss,IPCC_9_65_447,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,glacier areal and mass changes/loss rate,IPCC_2_60_95,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,glacier mass and extent,IPCC_2_26_47,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,glacier mass balance,GEO_2_26_7,GEO,0,ecosystems,Change in ecosystems,NA,NA
,glacier mass loss,IPCC_1_13_4,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,global annual mean tropospheric ozone burden,IPCC_6_22_300,IPCC,0,Direct drivers,Climate change,ecosystems,Abiotic conditions
,global atmospheric co levels,GEO_7_7_63,GEO,0,ecosystems,Abiotic conditions,NA,NA
,global bird richness (csar),IPBES_GA2.2_sup_56,IPBES,0,biodiversity,State of biodiversity,NA,NA
,global capacity,GEO_13_14_129,GEO,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,Knowledge systems,Specific information on human-nature relationship
,global carbon budget,IPCC_5_70_289,IPCC,0,Ecosystem services,Nature contribution,NA,NA
,global climate risk index,GA_1_52_19,IPBES,0,Direct drivers,Climate change,NA,NA
,global coral reef extent,GBF_GA_CY_13,GBF,1,biodiversity,State of biodiversity,NA,NA
,global cover of mangroves,GA_2.2_91_124,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA
,global dust deposition,IPCC_6_16_296,IPCC,0,Direct drivers,Climate change,Direct drivers,Pollution
,global ecosystem restoration index,GBF_T2_CY_120;GA_1_52_19,GBF;IPBES,1,ecosystems,Area conservation,NA,NA
,global effort in bottom-trawling,GA_1_52_19;GA_4_152_225;GA_3_15_329;IPBES_GA3_sup_24,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,global energy budget,IPCC_1_38_17;IPCC_7_77_351,IPCC,0,Governance,Legislation/governance,NA,NA
,global environmental impacts of consumption,GBF_T16_C_60,GBF,1,Direct drivers,Land conversion,NA,NA
,global forest-specialist bird richness (csar),IPBES_GA2.2_sup_57,IPBES,0,biodiversity,State of biodiversity,NA,NA
,"global funding committed towards environmental policy, laws, regulations and economic instruments",IPBES_GA3_sup_68,IPBES,0,Governance,Legislation/governance,NA,NA
x,global funding for resourcing of biological invasions policy and management implementation,IAS_6_17_143,IPBES,0,Governance,Nature-based funding,Direct drivers,Invasive alien species
,global greening/browning,IPCC_2_26_47,IPCC,0,Direct drivers,Climate change,NA,NA
,global human settlement layer (ghsl),GEO_3_14_30,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA
,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_GD_CY_103,GBF,1,Knowledge systems,Information on society and socio-economics,Human assets,State of economy
,global index on indigenous peoples' well-being,VA_3_63_79,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA
,global land precipitation,IPCC_4_7_219,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global linguistic diversity index and language threat level,GA_1_52_19,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA
,global mammal and bird species remaining,GA_2.2_37_70;IPBES_GA2.2_sup_58,IPBES,0,biodiversity,State of biodiversity,NA,NA
,global mean ocean surface ph,IPCC_4_8_220,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global mean sea level (gmsl),IPCC_1_16_6;IPCC_9_96_465,IPCC,0,ecosystems,State of ecosystems,NA,NA
,global mean surface temperature (gmst),IPCC_1_16_6;IPCC_1_47_20;IPCC_2_8_35,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global monsoons,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global precipitation climatology centre (gpcc) v8,IPCC_1_13_4,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global saltmarsh extent,GBF_GA_CY_15,GBF,1,ecosystems,State of ecosystems,NA,NA
,global scale ecosystem carbon storage,GA_4_87_186,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,global seagrass extent (seagrass cover and composition),GBF_GA_CY_14,GBF,1,biodiversity,State of biodiversity,NA,NA
remove,global surface air temperature (gmst),IPCC_1_13_4,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global surface air temperature (gsat),IPCC_4_7_219;IPCC_9_11_426,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
remove,global surface temperature,IPCC_7_82_356;IPCC_7_91_360,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global temperature,IPCC_1_58_23,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global temperature increase,GEO_4_20_39,GEO,0,Direct drivers,Climate change,Direct drivers,Natural drivers
,global temperature potential,GEO_12_18_124,GEO,0,ecosystems,Abiotic conditions,NA,NA
,global temperatures,IPCC_1_92_33,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,global vegetation cover,IPCC_2_43_71,IPCC,0,ecosystems,State of ecosystems (coverage),NA,NA
,global vegetation health products,GBF_GA_CY_26,GBF,1,Ecosystem services,Nature contribution,NA,NA
,global warming potential index,GEO_12_18_122,GEO,0,Direct drivers,Climate change,NA,NA
,globalization index,GA_2_24_29;IPBES_GA2.1_sup_2,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,governance index,SUA_6_77_200,IPBES,0,Governance,Legislation/governance,NA,NA
,grassland and savannah extent,GBF_GA_CY_4,GBF,1,ecosystems,State of ecosystems,NA,NA
,green consumption,GA_3_26_355,IPBES,0,Ecosystem services,Nature contribution,Human well-being,Healthy living conditions
,green gross domestic product,VA_6_22_145,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,green status of species index,GBF_T4_C_28,GBF,1,biodiversity,State of biodiversity,NA,NA
,green status of species index (pollinators),GBF_GB_CY_60,GBF,1,biodiversity,State of biodiversity,Ecosystem services,Nature contribution
,greenhouse gas emissions,GA_2_83_42;GEO_4_20_39,IPBES;GEO,0,Direct drivers,Climate change,Direct drivers,Pollution
,greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6,GEO,0,Direct drivers,Climate change,NA,NA
,greenland blocking index,IPCC_9_47_438,IPCC,0,Direct drivers,Climate change,NA,NA
,greenland ice sheet fluctuations,IPCC_2_60_96,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,gross domestic product,GA_1_19_6;GA_2_20_26;GA_2_24_29;GA_6_139_289;SUA_1_11_4;SUA_4_149_137;VA_2_10_12;VA_2_38_29;VA_5_78_136;VA_6_61_155;IAS_2_5_11;IAS_3_8_84;IAS_3_34_90;IAS_6_85_153;IPBES_GA2.1_sup_1;IPBES_GA2.1_sup_29,IPBES,0,Human assets,State of economy,NA,NA
,gross ecosystem product,VA_4_89_124,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA
,gross national happiness index,GA_1_19_6;GA_5_69_253;GA_6_140_290;SUA_1_12_5;VA_2_29_20;IAS_6_85_153,IPBES,0,Human well-being,Wellness,NA,NA
,gross national happiness index of bhutan,VA_6_21_143,IPBES,0,Human well-being,Wellness,NA,NA
,gross national product,IAS_6_85_153,IPBES,0,Human assets,State of economy,NA,NA
,ground subsidence,IPCC_2_63_102,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,grounding line retreat,IPCC_9_55_443,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,growing degree days,IPCC_12_46_648,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,growing season of terrestrial biota,IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA
,growth in human appropriation of net primary productivity,GA_3_26_355,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,growth in information relevant to informing policy on invasive alien species prevention and control,IAS_6_11_138;IAS_6_119_174,IPBES,0,Direct drivers,Invasive alien species,Knowledge systems,Information on biodiversity
,growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_T21_CY_250,GBF,1,Knowledge systems,Information on biodiversity,NA,NA
,growth in number of records and species in the living planet index database,GBF_T21_CY_248,GBF,1,Knowledge systems,Information on biodiversity,NA,NA
,species growth rate,IAS_4_64_104,IPBES,0,biodiversity,State of biodiversity,NA,NA
,growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,SDG;IPBES,1,Human assets,Income,NA,NA
,habitat area and quality,GA_4_34_176,IPBES,0,ecosystems,State of ecosystems,NA,NA
,habitat conditions,SUA_4_89_132,IPBES,0,ecosystems,State of ecosystems,NA,NA
,habitat distributional range,GBF_T2_CY_115,GBF,1,ecosystems,State of ecosystems,NA,NA
,habitat loss,GEO_6_8_49,GEO,0,ecosystems,Change in ecosystems,NA,NA
,habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_T1_CY_107,GBF,1,ecosystems,Area conservation,NA,NA
,habitat quality,SUA_2_95_77,IPBES,0,Knowledge systems,ILK,ecosystems,State of ecosystems
,hadley circulation cell,IPCC_3_37_179,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,hadley/walker circulation,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,hallow coral reefs,GA_2.2_91_124,IPBES,0,ecosystems,State of ecosystems,NA,NA
,happiness,VA_3_41_70,IPBES,0,Human well-being,Wellness,NA,NA
,happy planet index,GA_5_69_253;GA_5_108_263,IPBES,0,Human well-being,Wellness,NA,NA
,hard coral cover and composition,GBF_GA_CY_12,GBF,1,biodiversity,State of biodiversity,NA,NA
,harvest intensity,SUA_2_95_77,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF;SDG;IPBES,1,Direct drivers,Pollution,NA,NA
remove,health,GEO_22_21_257,GEO,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,health associated with intake of pollinator dependent foods,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,Direct drivers,Pollution
,health condition and body size of wild animals decrease,GA_2.2_5_55,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,health of the forest,GA_2.3_41_142,IPBES,0,ecosystems,State of ecosystems,NA,NA
,health of the soil,GA_2.3_40_140,IPBES,0,Knowledge systems,ILK,ecosystems,Abiotic conditions
,health worker density and distribution,SDG_G3.c.1_53,SDG,1,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,heat index (hi),IPCC_12_7_581;IPCC_12_27_618;IPCC_12_49_649;IPCC_12_85_724,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,heat stress (humidity and temperature),IPCC_12_15_596,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,heat stress index,IPCC_12_54_663,IPCC,0,Direct drivers,Climate change,NA,NA
,heating degree day index,IPCC_12_56_664,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,heating degree days below 15.5°c,IPCC_sup_45,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,"hepatitis b incidence per 100,000 population",SDG_G3.3.4_35,SDG,1,Human assets,Coverage of basic needs,NA,NA
,"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45,GEO,0,Human well-being,Healthy living conditions,NA,NA
,high body mass index,GEO_5_19_45,GEO,0,biodiversity,State of biodiversity,NA,NA
,highest five day precipitation amount (rx5day),IPCC_11_52_540,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,highest one day precipitation amount (rx1day),IPCC_11_52_540,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,historic land use change since 1970,GA_2.3_53_152,IPBES,0,Direct drivers,Land conversion,NA,NA
,holistic health model,VA_3_63_79,IPBES,0,Human well-being,Wellness,NA,NA
,human appropriation of fresh water,GA_3_15_329;IPBES_GA3_sup_14,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,human appropriation of net primary productivity,GBF_T14_CY_211;GA_1_52_19;VA_2_38_29;IPBES_GA3_sup_13,GBF;IPBES,1,Ecosystem services,Nature contribution,NA,NA
,human development index (hdi),GA_1_19_6;GA_1_31_9;GA_2_24_29;GA_2_22_30;GA_5_68_252;GA_3_77_402;GA_3_97_413;SUA_1_12_5;VA_5_78_136;IAS_2_18_24,IPBES,0,Knowledge systems,Information on society and socio-economics,Human well-being,Wellness
,human footprint,GA_2.2_62_105,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,human population density,IAS_3_8_84,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,human population size,IAS_2_5_11,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,humidity,IPCC_12_62_673,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,hunting success,SUA_2_97_80,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,hydrological deficits,IPCC_11_58_544,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ice core measurements,IPCC_5_14_270,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change
,ice core records,IPCC_2_58_90,IPCC,0,ecosystems,State of ecosystems,NA,NA
,ice cores,IPCC_2_63_105,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change
,ideas and products mimicking or inspired by nature,GA_2.3_42_143,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,identity value - rural and iplc,GA_2.3_42_143,IPBES,0,Human well-being,Wellness,NA,NA
,identity value - urban,GA_2.3_42_143,IPBES,0,Human well-being,Wellness,NA,NA
,illegal trade by cites species classification,GBF_T5_CY_161,GBF,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,impact of agricultural habitat conversion on birds,SUA_4_42_113,IPBES,0,Direct drivers,Land conversion,NA,NA
,"impact of alien species on sensitive places, species and functions",IAS_6_97_160,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169,GEO,0,ecosystems,State of ecosystems,NA,NA
,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,GBF,1,Governance,Nature-based legislation,NA,NA
,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG;IPBES,1,Governance,Legislation/governance,NA,NA
,importance of forests to people,SUA_2_92_69,IPBES,0,Human well-being,Healthy living conditions,Knowledge systems,Specific information on human-nature relationship
,improved health from natural medicines or bio-derived medicines,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,improved water supply and sanitation,GEO_16_18_190,GEO,0,Human well-being,Healthy living conditions,NA,NA
,improved/unimproved sources of drinking water,GEO_16_16_184,GEO,0,Human well-being,Healthy living conditions,NA,NA
,improvement in conseration status of species threatened by invasive alien species,IAS_6_119_174,IPBES,0,Direct drivers,Invasive alien species,biodiversity,Change in biodiversity
,including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,GEO_17_12_205,GEO,0,Human well-being,Healthy living conditions,NA,NA
,inclusion of historically disadvantaged stakeholders,VA_2_10_12,IPBES,0,Human well-being,Equity,NA,NA
,inclusive and equitable quality education,GEO_22_21_257,GEO,0,Human assets,Coverage of basic needs,Human well-being,Equity
,inclusive societies,GEO_3_5_16,GEO,0,Human well-being,Equity,NA,NA
,inclusive wealth,GA_1_19_6;SUA_1_12_5;VA_2_7_9;VA_2_39_33;VA_3_114_99;VA_5_78_136,IPBES,0,Human assets,Income,NA,NA
,income,GA_2_25_31;SUA_4_149_137,IPBES,0,Human assets,Income,NA,NA
,increase in global tc maximum surface wind speeds,IPCC_11_79_569,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,increase in secondary natural forest cover,GBF_T2_CY_117,GBF,1,ecosystems,Change in ecosystems,NA,NA
,increase in the global mean sea level,GEO_2_26_7,GEO,0,ecosystems,Change in ecosystems,NA,NA
,"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,Human well-being,Wellness
,"increased awareness, care, mental health, cultural security, life satisfaction - urban",GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,Human well-being,Wellness
,increasingly unpredictable annual distribution of rainfall,GA_2.2_6_56,IPBES,0,Direct drivers,Natural drivers,NA,NA
,index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1,Direct drivers,Pollution,ecosystems,State of ecosystems (integrity)
,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_GB_CY_85,GBF,1,Governance,Legislation/governance,Human well-being,Cultural diversity
,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_T2_CY_116,GBF,1,ecosystems,State of ecosystems,biodiversity,Species conservation
remove,index of sustainable economic welfare,IAS_6_85_153,IPBES,0,Human assets,State of economy,NA,NA
,index of sustainable economic welfare (isew),GA_6_139_289;VA_2_38_29;VA_2_39_33,IPBES,0,Human assets,State of economy,NA,NA
,indian ocean basin (iob) index,IPCC_3_78_203,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,indian ocean dipole (ipo),IPCC_3_80_205,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,indian ocean dipole index (iod),IPCC_3_78_202,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,indicator based on task force for naturerelated financial disclosures,GBF_T15_C_57,GBF,1,Human assets,State of economy,NA,NA
,indicator of food price anomalies,SDG_G2.c.1_27;IPBES_SUA_sup_2.c.1_25,SDG;IPBES,1,Human assets,Coverage of basic needs,NA,NA
,indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,GBF,1,Knowledge systems,Information on biodiversity,NA,NA
,indicator on monetary benefits received,GBF_T13_H_35,GBF,1,Human assets,Income,NA,NA
,indicator on national implementation of the gender plan of action 2023-2030,GBF_T23_C_70,GBF,1,Human well-being,Equity,NA,NA
,indicator on non-monetary benefits,GBF_T13_H_36,GBF,1,Human assets,Income,NA,NA
,indicator(s) related to flows of financing related to different aspects of strategic plan implementation,RAMSAR_OG4.17_62,RAMSAR,1,Governance,Nature-based funding,NA,NA
,indicator(s) related to the use of guidance and availability in various language versions,RAMSAR_OG4.14_47,RAMSAR,1,Governance,Nature-based legislation,Human well-being,Cultural diversity
,indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes,RAMSAR_OG4.16_59,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,indicator(s) relating to (numbers of) ramsar sites at risk,RAMSAR_SG2.7_29,RAMSAR,1,ecosystems,Area conservation,NA,NA
,indicators related to the relevant sectors especially using or linking to relevant aichi target indicators and other relevant international processes,RAMSAR_SG3.13_42,RAMSAR,1,Governance,National/international cooperation,NA,NA
,individual deprivation measure,GA_3_97_413,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,"information provided through the financial reporting framework, adopted by decision xii/3",GA_1_52_19,IPBES,0,Governance,Legislation/governance,NA,NA
,inland fishery production,GA_1_52_19;GA_1_52_19,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,installed renewable energy-generating capacity in developing countries (in watts per capita),SDG_G7.b.1_99;SDG_G12.a.1_172;IPBES_SUA_sup_7.b.1_43;IPBES_SUA_sup_12.a.1_99,SDG;IPBES,1,Human assets,Infrastructure (build-up area),Ecosystem services,Specific mention of sustainable use of species/ecosystems
,intact wilderness,GBF_GA_CY_51;GBF_GB_CY_73,GBF,1,ecosystems,State of ecosystems,NA,NA
,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_GC_CY_94;SDG_G15.9.1.b_206;IPBES_SUA_sup_15.9.1.b_132,GBF;SDG;IPBES,1,Governance,Nature-based funding,NA,NA
,integration of education for sustainable development (esd) in curricula,GEO_4_9_33,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,integration of education for sustainable development (esd) in higher education,GEO_4_9_33,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,intensity of weather,SUA_2_97_80,IPBES,0,Knowledge systems,ILK,ecosystems,Abiotic conditions
,inter-decadal pacific oscillation (ipo) index,IPCC_2_89_154,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,inter-tropical convergence zone (itcz) narrowing,IPCC_8_39_378,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,interannual variability of primary production (pp),IPCC_5_57_287,IPCC,0,ecosystems,State of ecosystems,NA,NA
,"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SDG_G7.a.1_98;IPBES_SUA_sup_7.a.1_42,SDG;IPBES,1,Governance,Nature-based funding,NA,NA
,international health regulations (ihr) capacity and health emergency preparedness,SDG_G3.d.1_54,SDG,1,Human well-being,Healthy living conditions,NA,NA
,international migrant stock,GA_2_24_29;IPBES_GA2.1_sup_24,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_GD_H_10;GBF_T19_H_45,GBF,1,Governance,National/international cooperation,NA,NA
,"international tourism, number of arrivals",IPBES_GA2.1_sup_36,IPBES,0,Human well-being,Recreation,NA,NA
,"international tourism, number of departures",IPBES_GA2.1_sup_35,IPBES,0,Human well-being,Recreation,NA,NA
,interventions to limit spread and reduce impact of alien species,IAS_6_97_160,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,invasive alien species are given new names by indigenous peoples and local communities,IAS_1_53_8,IPBES,0,Knowledge systems,ILK,NA,NA
,invasive alien species impact,IAS_6_114_165,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,invertebrate abundance and biomass,GEO_6_16_56,GEO,0,biodiversity,State of biodiversity,NA,NA
,investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,GEO_23_24_263,GEO,0,Governance,Legislation/governance,Human well-being,Healthy living conditions
,involvement of stakeholders in various aspects of wetland and/or basin-scale management,RAMSAR_SG3.9_34,RAMSAR,1,ecosystems,Area conservation,Governance,Nature-based legislation
,isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,iucn green list of protected and conserved areas,GBF_T3_CY_133,GBF,1,ecosystems,Area conservation,NA,NA
,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_GD_CY_99,GBF,1,Knowledge systems,Information on society and socio-economics,NA,NA
,kelp canopy extent,GBF_GA_CY_16,GBF,1,biodiversity,State of biodiversity,NA,NA
,labour share of gross domestic product,SDG_G10.4.1_132;IPBES_SUA_sup_10.4.1_73,SDG;IPBES,1,Human assets,Income,NA,NA
,lake sediments,IPCC_9_66_448,IPCC,0,ecosystems,State of ecosystems,NA,NA
